0   0   1339.89616667
0   60   1316.37593333
0   120   1316.37593333
0   180   1316.37593333
0   240   1316.37593333
0   300   1316.37593333

30   0   1335.05973333
30   60   1274.9732
30   120   1274.9732
30   180   1274.9732
30   240   1274.9732
30   300   1274.9732

60   0   1287.40146667
60   60   1359.8122
60   120   1359.8122
60   180   1359.8122
60   240   1359.8122
60   300   1359.8122

90   0   1238.73153333
90   60   1260.46463333
90   120   1260.46463333
90   180   1261.91573333
90   240   1261.91573333
90   300   1261.91573333

120   0   1224.68666667
120   60   1254.6446
120   120   1254.6446
120   180   1253.60283333
120   240   1253.60283333
120   300   1253.60283333

150   0   1237.46223333
150   60   1284.6882
150   120   1284.6882
150   180   1284.6882
150   240   1284.6882
150   300   1284.6882
