c1   c2   cvar
91   23   1810.51933333
91   24   1810.26666667
91   25   1810.26666667
91   26   1810.26666667
91   28   1810.26666667
91   29   1810.26666667
91   30   1810.26666667
91   32   1810.26666667
      
98   0   1821.76133333
98   1   1802.726
98   2   1795.13733333
98   3   1808.438
98   5   1789.78266667
98   6   1769.532
98   7   1789.062
98   8   1798.202
98   10   1825.61866667
98   11   1834.60266667
98   12   1841.48666667
98   14   1839.51066667
98   15   1827.136
98   16   1837.71066667
98   17   1836.93133333
98   19   1849.49133333
98   20   1831.932
98   21   1843.88666667
98   23   1807.60333333
98   24   1807.60333333
98   25   1807.60333333
98   26   1807.60333333
98   28   1807.60333333
98   29   1807.60333333
98   30   1807.60333333
98   32   1807.60333333
      
104   0   1819.962
104   1   1821.80866667
104   2   1794.33333333
104   3   1803.84066667
104   5   1840.93733333
104   6   1796.23333333
104   7   1828.60066667
104   8   1842.968
104   10   1833.34533333
104   11   1831.35533333
104   12   1853.41733333
104   14   1834.222
104   15   1827.05
104   16   1825.44933333
104   17   1854.47733333
104   19   1863.02466667
104   20   1848.90266667
104   21   1836.36533333
104   23   1764.58866667
104   24   1764.58866667
104   25   1764.58866667
104   26   1764.58866667
104   28   1764.58866667
104   29   1764.58866667
104   30   1764.58866667
104   32   1764.58866667
      
111   0   1801.89333333
111   1   1828.954
111   2   1818.79066667
111   3   1798.26066667
111   5   1826.26866667
111   6   1799.21066667
111   7   1824.038
111   8   1839.754
111   10   1824.688
111   11   1841.11733333
111   12   1849.07866667
111   14   1856.50533333
111   15   1839.31466667
111   16   1823.70733333
111   17   1849.00466667
111   19   1857.488
111   20   1827.66333333
111   21   1832.79533333
111   23   1772.916
111   24   1772.916
111   25   1772.916
111   26   1772.916
111   28   1772.916
111   29   1772.916
111   30   1772.916
111   32   1772.916
      
118   0   1800.90866667
118   1   1824.08666667
118   2   1824.65266667
118   3   1794.50266667
118   5   1819.88533333
118   6   1791.97533333
118   7   1819.052
118   8   1836.29133333
118   10   1823.37533333
118   11   1842.15533333
118   12   1849.38466667
118   14   1841.23
118   15   1834.59266667
118   16   1818.98533333
118   17   1843.48266667
118   19   1857.37733333
118   20   1823.99266667
118   21   1829.11733333
118   23   1767.84933333
118   24   1767.84933333
118   25   1767.84933333
118   26   1767.84933333
118   28   1767.84933333
118   29   1767.84933333
118   30   1767.84933333
118   32   1767.84933333
      
124   0   1803.30333333
124   1   1824.08666667
124   2   1824.65266667
124   3   1795.79866667
124   5   1819.88533333
124   6   1786.99066667
124   7   1819.052
124   8   1836.29133333
124   10   1822.49
124   11   1842.15533333
124   12   1849.38466667
124   14   1841.37933333
124   15   1833.44066667
124   16   1816.7
124   17   1845.93066667
124   19   1857.37733333
124   20   1824.77
124   21   1829.89466667
124   23   1763.26666667
124   24   1763.26666667
124   25   1763.26666667
124   26   1763.26666667
124   28   1763.26666667
124   29   1763.26666667
124   30   1763.26666667
124   32   1763.26666667
      
131   0   1801.406
131   1   1802.11466667
131   2   1794.52333333
131   3   1813.95066667
131   5   1801.00333333
131   6   1815.624
131   7   1803.04066667
131   8   1808.484
131   10   1736.58333333
131   11   1738.38133333
131   12   1724.88266667
131   14   1725.46933333
131   15   1754.31866667
131   16   1723.512
131   17   1725.59
131   19   1722.18866667
131   20   1693.78533333
131   21   1704.76133333
131   23   1786.944
131   24   1786.944
131   25   1786.944
131   26   1786.944
131   28   1786.944
131   29   1786.944
131   30   1786.944
131   32   1786.944
      
137   0   1801.406
137   1   1802.11466667
137   2   1788.05666667
137   3   1807.484
137   5   1794.53666667
137   6   1809.15733333
137   7   1802.79066667
137   8   1808.484
137   10   1736.58333333
137   11   1738.38133333
137   12   1724.88266667
137   14   1725.46933333
137   15   1754.31866667
137   16   1723.512
137   17   1725.59
137   19   1720.03666667
137   20   1693.78533333
137   21   1704.76133333
137   23   1786.944
137   24   1786.944
137   25   1786.944
137   26   1786.944
137   28   1786.944
137   29   1786.944
137   30   1786.944
137   32   1786.944
      
144   0   1801.406
144   1   1802.11466667
144   2   1788.05666667
144   3   1807.484
144   5   1794.53666667
144   6   1809.15733333
144   7   1802.79066667
144   8   1808.484
144   10   1736.58333333
144   11   1738.38133333
144   12   1723.658
144   14   1725.46933333
144   15   1754.31866667
144   16   1723.512
144   17   1725.59
144   19   1720.03666667
144   20   1693.78533333
144   21   1704.76133333
144   23   1786.944
144   24   1786.944
144   25   1786.944
144   26   1786.944
144   28   1786.944
144   29   1786.944
144   30   1786.944
144   32   1786.944
      
150   0   1801.406
150   1   1802.11466667
150   2   1788.05666667
150   3   1807.484
150   5   1794.53666667
150   6   1809.15733333
150   7   1802.79066667
150   8   1808.484
150   10   1736.58333333
150   11   1738.38133333
150   12   1723.658
150   14   1725.46933333
150   15   1754.31866667
150   16   1723.512
150   17   1725.59
150   19   1720.03666667
150   20   1693.78533333
150   21   1704.76133333
150   23   1787.03666667
150   24   1787.03666667
150   25   1787.03666667
150   26   1787.03666667
150   28   1787.03666667
150   29   1787.03666667
150   30   1787.03666667
150   32   1787.03666667
      
157   0   1801.406
157   1   1802.11466667
157   2   1788.05666667
157   3   1807.484
157   5   1794.53666667
157   6   1809.15733333
157   7   1802.79066667
157   8   1810.37866667
157   10   1736.58333333
157   11   1738.38133333
157   12   1723.658
157   14   1725.46933333
157   15   1754.31866667
157   16   1723.512
157   17   1725.59
157   19   1720.03666667
157   20   1693.78533333
157   21   1704.76133333
157   23   1787.03666667
157   24   1787.03666667
157   25   1787.03666667
157   26   1787.03666667
157   28   1787.03666667
157   29   1787.03666667
157   30   1787.03666667
157   32   1787.03666667
      
164   0   1801.406
164   1   1802.11466667
164   2   1788.05666667
164   3   1807.484
164   5   1794.53666667
164   6   1809.15733333
164   7   1802.79066667
164   8   1810.37866667
164   10   1736.58333333
164   11   1741.254
164   12   1723.658
164   14   1725.46933333
164   15   1754.31866667
164   16   1723.512
164   17   1725.59
164   19   1720.03666667
164   20   1693.78533333
164   21   1704.76133333
164   23   1787.03666667
164   24   1787.03666667
164   25   1787.03666667
164   26   1787.03666667
164   28   1787.03666667
164   29   1787.03666667
164   30   1787.03666667
164   32   1787.03666667
