num	ex
2 1339.89616667
3 1339.89616667
4 1339.89616667
5 1315.8068
6 1315.8068
7 1315.8068
8 1250.5917
9 1250.5917
10 1250.5917
11 1250.5917
12 1250.5917
13 1250.5917
14 1250.5917
15 1250.5917
16 1250.5917
17 1250.5917
18 1250.5917
19 1250.5917
20 1250.54173333
21 1250.54173333
22 1250.54173333
23 1250.54173333
24 1250.54173333
25 1250.54173333
26 1250.54173333
27 1250.54173333
28 1250.54173333
29 1250.54173333
30 1250.54173333
31 1250.54173333
32 1250.54173333
33 1250.54173333
34 1250.54173333
35 1250.54173333
36 1250.54173333
37 1250.54173333
38 1239.61356667
39 1239.61356667
40 1239.61356667
41 1239.61356667
42 1239.61356667
43 1239.61356667
44 1239.61356667
45 1239.61356667
46 1239.61356667
47 1239.61356667
48 1239.61356667
49 1239.61356667
50 1239.61356667
51 1239.61356667
52 1239.61356667
53 1239.61356667
54 1239.61356667
55 1239.61356667
56 1239.61356667
57 1239.61356667
58 1239.61356667
59 1239.61356667
60 1239.61356667
61 1239.61356667
62 1239.61356667
63 1239.61356667
64 1239.61356667
65 1239.61356667
66 1239.61356667
67 1239.61356667
68 1239.61356667
69 1239.61356667
70 1239.61356667
71 1239.61356667
72 1239.61356667
73 1239.61356667
74 1239.61356667
75 1239.61356667
