c1   c2   ex
0   0   1339.89616667
0   10   1369.0871
0   20   1358.1923
0   30   1316.11346667
0   40   1316.37593333
0   50   1316.37593333
0   60   1316.37593333
0   70   1316.37593333
0   80   1316.37593333
0   90   1316.37593333
0   100   1316.37593333

15   0   1418.036
15   10   1255.21776667
15   20   1275.07643333
15   30   1341.08223333
15   40   1340.99406667
15   50   1340.99406667
15   60   1340.99406667
15   70   1340.99406667
15   80   1340.99406667
15   90   1340.99406667
15   100   1340.99406667

30   0   1335.05973333
30   10   1320.25583333
30   20   1308.62566667
30   30   1275.70413333
30   40   1274.9732
30   50   1274.9732
30   60   1274.9732
30   70   1274.9732
30   80   1274.9732
30   90   1274.9732
30   100   1274.9732

45   0   1319.23093333
45   10   1325.91223333
45   20   1295.0608
45   30   1315.58393333
45   40   1315.69393333
45   50   1315.69393333
45   60   1315.69393333
45   70   1315.69393333
45   80   1315.69393333
45   90   1315.69393333
45   100   1315.69393333

60   0   1287.40146667
60   10   1392.95543333
60   20   1377.5481
60   30   1359.8122
60   40   1359.8122
60   50   1359.8122
60   60   1359.8122
60   70   1359.8122
60   80   1359.8122
60   90   1359.8122
60   100   1359.8122

75   0   1240.43383333
75   10   1402.9759
75   20   1412.81516667
75   30   1209.82906667
75   40   1209.82906667
75   50   1209.82906667
75   60   1209.82906667
75   70   1209.82906667
75   80   1209.82906667
75   90   1209.82906667
75   100   1209.82906667

90   0   1238.73153333
90   10   1412.2887
90   20   1398.03466667
90   30   1260.84116667
90   40   1260.46463333
90   50   1260.46463333
90   60   1260.46463333
90   70   1260.46463333
90   80   1260.46463333
90   90   1260.46463333
90   100   1260.46463333

105   0   1228.58453333
105   10   1395.9102
105   20   1395.9212
105   30   1263.6492
105   40   1264.04253333
105   50   1264.04253333
105   60   1264.04253333
105   70   1264.04253333
105   80   1264.04253333
105   90   1264.04253333
105   100   1264.04253333

120   0   1224.68666667
120   10   1399.16843333
120   20   1412.58936667
120   30   1254.25126667
120   40   1254.6446
120   50   1254.6446
120   60   1254.6446
120   70   1254.6446
120   80   1254.6446
120   90   1254.6446
120   100   1254.6446

135   0   1236.29076667
135   10   1222.46246667
135   20   1195.39096667
135   30   1287.0463
135   40   1287.23673333
135   50   1287.23673333
135   60   1287.23673333
135   70   1287.23673333
135   80   1287.23673333
135   90   1287.23673333
135   100   1287.23673333

150   0   1237.46223333
150   10   1223.98703333
150   20   1199.03223333
150   30   1284.49776667
150   40   1284.6882
150   50   1284.6882
150   60   1284.6882
150   70   1284.6882
150   80   1284.6882
150   90   1284.6882
150   100   1284.6882
