num ex
2 1339.89616667
3 1240.43383333
4 1240.43383333
5 1240.43383333
6 1240.43383333
7 1240.43383333
8 1237.46223333
9 1237.46223333
10 1209.82906667
11 1209.82906667
12 1209.82906667
13 1209.82906667
14 1209.82906667
15 1209.82906667
16 1209.82906667
17 1209.82906667
18 1209.82906667
19 1209.82906667
20 1209.82906667
21 1209.82906667
22 1209.82906667
23 1209.82906667
24 1209.82906667
25 1209.82906667
26 1209.82906667
27 1209.82906667
28 1209.82906667
29 1209.82906667
30 1209.82906667
31 1209.82906667
32 1209.82906667
33 1209.82906667
34 1209.82906667
35 1209.82906667
36 1209.82906667
37 1209.82906667
38 1209.82906667
39 1209.82906667
40 1209.82906667
41 1209.82906667
42 1209.82906667
43 1209.82906667
44 1209.82906667
45 1209.82906667
46 1209.82906667
47 1209.82906667
48 1209.82906667
49 1204.3546
50 1204.3546
51 1204.3546
52 1204.3546
53 1204.3546
54 1204.3546
55 1204.3546
56 1204.3546
57 1204.3546
58 1204.3546
59 1204.3546
60 1204.3546
61 1204.3546
62 1204.3546
63 1203.77586667
64 1203.77586667
65 1203.77586667
66 1203.77586667
67 1203.77586667
68 1203.77586667
69 1203.77586667
70 1203.77586667
71 1203.77586667
72 1203.77586667
73 1203.77586667
74 1203.77586667
75 1203.77586667
76 1203.77586667
