L	opf	cc	jcc
0.146	0.0436789	0.0473577	0.0479249
0.147	0.0435325	0.047227	0.0478269
0.148	0.0433763	0.0470851	0.0477229
0.149	0.0432213	0.0469489	0.0476181
0.15	0.0430726	0.0468147	0.0475179
0.151	0.0429125	0.0466699	0.0474056
0.152	0.0427684	0.0465394	0.0473087
0.153	0.0426158	0.0464032	0.0472065
0.154	0.0424665	0.0462662	0.0470995
0.155	0.0423151	0.0461268	0.046994
0.156	0.0421671	0.0459884	0.0468891
0.157	0.0420215	0.0458504	0.0467843
0.158	0.0418756	0.0457206	0.0466833
0.159	0.0417308	0.045585	0.0465801
0.16	0.0415856	0.0454515	0.0464714
0.161	0.0414364	0.0453186	0.0463664
0.162	0.0412848	0.0451811	0.0462569
0.163	0.0411431	0.0450504	0.0461558
0.164	0.0410016	0.044928	0.0460587
0.165	0.0408633	0.044801	0.0459581
0.166	0.0407058	0.0446558	0.0458423
0.167	0.0405682	0.0445294	0.0457456
0.168	0.0404206	0.0443943	0.0456403
0.169	0.0402751	0.0442601	0.0455395
0.17	0.0401344	0.0441314	0.0454406
0.171	0.0399836	0.0439911	0.045331
0.172	0.0398443	0.0438649	0.0452366
0.173	0.0396965	0.0437253	0.0451301
0.174	0.0395531	0.0435945	0.0450317
0.175	0.0394232	0.0434726	0.0449418
0.176	0.0392699	0.0433336	0.0448344
0.177	0.0391234	0.0431957	0.0447287
0.178	0.0389812	0.0430647	0.0446331
0.179	0.0388406	0.0429347	0.0445341
0.18	0.0386988	0.0428046	0.044438
0.181	0.0385532	0.0426686	0.0443302
0.182	0.0384136	0.0425391	0.0442349
0.183	0.0382808	0.042413	0.0441406
0.184	0.0381373	0.0422724	0.0440338
0.185	0.0380046	0.0421484	0.0439403
0.186	0.0378704	0.0420173	0.0438412
0.187	0.0377309	0.0418813	0.0437403
0.188	0.037596	0.0417451	0.0436365
0.189	0.0374663	0.0416199	0.0435374
0.19	0.0373361	0.0414929	0.0434391
0.191	0.0372012	0.0413632	0.0433345
0.192	0.0370869	0.0412469	0.0432432
0.193	0.0369468	0.0411061	0.0431289
0.194	0.0368223	0.0409805	0.0430294
0.195	0.0367047	0.0408604	0.0429345
0.196	0.0365821	0.0407281	0.0428329
0.197	0.0364555	0.0406022	0.0427279
0.198	0.0363316	0.0404714	0.0426299
