L	opf	cc	jcc
0.708	0.0459314	0.038131	0.0368341
0.709	0.045779	0.0379769	0.0366765
0.71	0.0456963	0.0378767	0.0365732
0.711	0.0456063	0.0377815	0.0364729
0.712	0.0454391	0.0376115	0.0363011
0.713	0.0453726	0.0375362	0.0362188
0.714	0.0452692	0.0374197	0.0360992
0.715	0.0451269	0.0372655	0.0359435
0.716	0.045123	0.0372385	0.0359087
0.717	0.0449125	0.0370377	0.035707
0.718	0.0448951	0.0369989	0.0356647
0.719	0.0447633	0.0368615	0.0355225
0.72	0.0446008	0.0366983	0.0353562
0.721	0.0445913	0.0366712	0.0353238
0.722	0.0444729	0.0365353	0.0351822
0.723	0.0443284	0.0363913	0.0350355
0.724	0.0441529	0.0362154	0.0348554
0.725	0.0441315	0.0361781	0.034813
0.726	0.0439822	0.0360247	0.0346554
0.727	0.0438415	0.0358749	0.0345044
0.728	0.043802	0.0358044	0.0344278
0.729	0.0437222	0.0357188	0.034338
0.73	0.0435913	0.0355845	0.0341994
0.731	0.043532	0.0355027	0.0341124
0.732	0.0433694	0.0353437	0.0339494
0.733	0.043291	0.0352495	0.0338528
0.734	0.0431795	0.0351205	0.0337175
0.735	0.0431058	0.0350353	0.0336272
0.736	0.0429354	0.0348666	0.0334567
0.737	0.0429327	0.0348374	0.0334197
0.738	0.0428241	0.0347235	0.033305
0.739	0.0427185	0.0346072	0.0331827
0.74	0.0425361	0.0344221	0.0329946
0.741	0.0424802	0.034348	0.032912
0.742	0.0424099	0.0342664	0.03283
0.743	0.0422142	0.034072	0.0326306
0.744	0.0421729	0.0340109	0.032565
0.745	0.0420702	0.0338923	0.0324404
0.746	0.0418949	0.0337262	0.0322715
0.747	0.0419059	0.0337057	0.0322445
0.748	0.0418135	0.0336085	0.0321424
0.749	0.0417119	0.033482	0.032009
0.75	0.0415743	0.0333305	0.0318565
0.751	0.0413857	0.0331611	0.0316817
0.752	0.0413386	0.0330834	0.0315977
0.753	0.0412246	0.0329723	0.0314837
0.754	0.0411435	0.0328668	0.0313709
0.755	0.0410787	0.0327804	0.0312827
0.756	0.0409439	0.0326403	0.0311356
0.757	0.0408249	0.0325097	0.0310009
0.758	0.0407895	0.0324588	0.0309419
0.759	0.0406705	0.0323297	0.03081
0.76	0.0406212	0.0322622	0.0307351
0.761	0.0404536	0.032103	0.0305708
0.762	0.0404425	0.0320549	0.0305201
0.763	0.0403055	0.031915	0.0303727
0.764	0.0401949	0.0317911	0.0302466
0.765	0.0400468	0.0316304	0.0300816
0.766	0.040034	0.0316066	0.03005
0.767	0.0398071	0.031381	0.029822
0.768	0.0398524	0.0313864	0.0298166
0.769	0.0396603	0.0311974	0.0296245
0.77	0.0396168	0.0311263	0.0295482
0.771	0.0394964	0.0310076	0.0294234
0.772	0.0393454	0.0308519	0.0292625
0.773	0.0392441	0.0307378	0.0291419
0.774	0.0392342	0.0306934	0.0290953
0.775	0.0391232	0.0305827	0.0289729
0.776	0.0390695	0.0305044	0.028893
0.777	0.0388784	0.0303158	0.0287018
0.778	0.0388054	0.0302255	0.0286002
0.779	0.0387319	0.0301285	0.0284978
0.78	0.0386132	0.0300096	0.028373
0.781	0.0385156	0.0298874	0.028249
0.782	0.0384311	0.0297836	0.0281388
0.783	0.0384114	0.0297407	0.0280874
0.784	0.0382173	0.0295532	0.0278948
0.785	0.0381013	0.0294292	0.027766
0.786	0.0380389	0.0293441	0.0276736
0.787	0.0379101	0.0292193	0.0275432
0.788	0.0377241	0.0290322	0.0273543
0.789	0.0377291	0.0290026	0.027315
0.79	0.0375785	0.0288301	0.027137
0.791	0.0374925	0.0287379	0.0270347
0.792	0.0375045	0.0287176	0.0270096
0.793	0.0374099	0.0286123	0.0268988
0.794	0.0372251	0.0284282	0.0267106
0.795	0.0371654	0.0283341	0.0266048
0.796	0.0370815	0.0282479	0.0265146
0.797	0.0369841	0.0281253	0.0263878
0.798	0.0368829	0.0280079	0.026264
0.799	0.0366876	0.0278196	0.0260693
0.8	0.0366784	0.0277894	0.0260317
0.801	0.0364699	0.0275883	0.0258242
0.802	0.0365026	0.0275708	0.0257985
0.803	0.0363793	0.0274455	0.0256661
0.804	0.0361321	0.0272045	0.0254215
0.805	0.0361417	0.0271893	0.0253961
0.806	0.0360523	0.0270758	0.0252819
0.807	0.0359319	0.0269494	0.0251468
0.808	0.0358476	0.0268508	0.0250376
0.809	0.0357176	0.0267018	0.0248825
0.81	0.0356752	0.0266364	0.0248124
0.811	0.0355133	0.0264706	0.0246361
0.812	0.0355493	0.0264669	0.0246249
0.813	0.0353558	0.0262601	0.0244151
