L	opf	cc	jcc
0.147	0.0435294	0.0524556	0.0478238
0.148	0.043375	0.0523411	0.0477216
0.149	0.0432203	0.0522251	0.0476179
0.15	0.0430735	0.0521152	0.0475173
0.151	0.0429208	0.0520032	0.0474143
0.152	0.0427608	0.0518812	0.0473066
0.153	0.0426087	0.0517653	0.0471981
0.154	0.0424658	0.0516543	0.0470985
0.155	0.0423148	0.0515454	0.0469936
0.156	0.0421696	0.0514291	0.0468916
0.157	0.0420272	0.0513237	0.0467927
0.158	0.0418743	0.0512036	0.0466822
0.159	0.0417349	0.051094	0.0465803
0.16	0.0415871	0.0509841	0.0464776
0.161	0.0414408	0.0508696	0.0463711
0.162	0.0412977	0.0507638	0.046268
0.163	0.0411448	0.0506434	0.0461545
0.164	0.040993	0.0505336	0.0460473
0.165	0.0408576	0.0504371	0.0459534
0.166	0.0407161	0.0503319	0.0458517
0.167	0.0405645	0.0502143	0.0457431
0.168	0.0404213	0.0501092	0.0456414
0.169	0.0402807	0.0500014	0.0455424
0.17	0.0401299	0.0498879	0.0454382
0.171	0.0399844	0.0497757	0.0453347
0.172	0.0398489	0.0496771	0.0452415
0.173	0.0397047	0.0495568	0.0451351
0.174	0.0395513	0.0494438	0.045029
0.175	0.0394133	0.0493425	0.0449341
0.176	0.0392755	0.0492374	0.0448384
0.177	0.0391195	0.0491109	0.0447274
0.178	0.0389826	0.0490065	0.0446314
0.179	0.0388446	0.0489056	0.0445395
0.18	0.0386998	0.048785	0.0444333
0.181	0.0385575	0.0486785	0.0443368
0.182	0.0384175	0.0485693	0.0442389
0.183	0.0382795	0.048454	0.0441376
0.184	0.0381344	0.048339	0.0440346
0.185	0.0379993	0.0482223	0.0439334
0.186	0.0378751	0.0481265	0.0438466
0.187	0.0377367	0.0480102	0.043743
0.188	0.0376021	0.0478978	0.0436422
0.189	0.0374705	0.0477882	0.0435401
0.19	0.0373412	0.0476811	0.0434426
0.191	0.0372052	0.0475691	0.0433366
0.192	0.0370786	0.0474682	0.0432384
0.193	0.0369509	0.0473588	0.0431349
0.194	0.0368289	0.0472543	0.0430343
0.195	0.0367062	0.0471561	0.0429364
0.196	0.0365725	0.0470436	0.042825
0.197	0.0364573	0.0469544	0.0427329
0.198	0.0363264	0.0468483	0.0426255
0.199	0.0362156	0.0467603	0.0425361
0.2	0.0360909	0.0466574	0.0424329
0.201	0.0359628	0.0465557	0.0423331
0.202	0.0358399	0.0464579	0.0422358
0.203	0.0357199	0.0463636	0.0421383
0.204	0.0356003	0.046268	0.0420427
0.205	0.0354747	0.0461617	0.0419391
0.206	0.0353518	0.0460626	0.0418413
0.207	0.0352278	0.0459557	0.041736
0.208	0.0351106	0.0458593	0.0416432
0.209	0.0349931	0.0457671	0.0415508
0.21	0.0348752	0.0456641	0.0414527
0.211	0.0347506	0.0455544	0.04135
0.212	0.0346393	0.0454702	0.0412621
0.213	0.0345234	0.04537	0.0411678
0.214	0.0344106	0.0452693	0.0410761
0.215	0.0342873	0.0451645	0.0409775
0.216	0.0341767	0.0450656	0.0408848
0.217	0.0340611	0.0449569	0.0407852
0.218	0.0339499	0.0448596	0.0406938
0.219	0.0338401	0.0447596	0.0406015
0.22	0.0337343	0.0446562	0.0405077
0.221	0.0336267	0.0445627	0.0404183
0.222	0.0335215	0.0444603	0.0403279
0.223	0.0334158	0.0443635	0.0402359
0.224	0.0332967	0.0442469	0.0401305
0.225	0.0331972	0.0441565	0.0400477
0.226	0.0331029	0.0440645	0.0399659
0.227	0.0329869	0.0439576	0.039868
0.228	0.0328863	0.0438531	0.0397767
0.229	0.0327775	0.0437522	0.0396801
0.23	0.0326793	0.0436559	0.0395927
0.231	0.0325815	0.0435601	0.0395065
0.232	0.0324816	0.0434654	0.03942
0.233	0.0323857	0.0433595	0.0393247
0.234	0.0322929	0.0432704	0.0392416
0.235	0.0321967	0.0431688	0.0391514
0.236	0.0321073	0.0430713	0.039065
0.237	0.0320079	0.0429657	0.0389709
0.238	0.0319185	0.0428734	0.0388863
0.239	0.0318342	0.0427803	0.0388048
0.24	0.0317434	0.0426769	0.0387148
0.241	0.0316506	0.0425872	0.0386329
0.242	0.0315696	0.0425011	0.0385568
0.243	0.0314766	0.042397	0.0384643
0.244	0.0313862	0.042298	0.0383791
0.245	0.0313009	0.0421991	0.0382956
0.246	0.0312102	0.0420997	0.0382084
0.247	0.0311202	0.042004	0.0381231
0.248	0.0310366	0.0419061	0.0380407
0.249	0.0309413	0.0418096	0.0379538
0.25	0.0308573	0.0417249	0.0378749
0.251	0.0307789	0.0416376	0.0377997
0.252	0.0306942	0.0415448	0.0377187
0.253	0.0306073	0.0414513	0.0376298
0.254	0.0305209	0.0413648	0.0375514
0.255	0.0304346	0.0412681	0.0374628
0.256	0.0303408	0.0411774	0.0373743
0.257	0.0302569	0.0410949	0.0372919
0.258	0.0301714	0.0410125	0.0372114
0.259	0.0300776	0.0409199	0.0371214
0.26	0.0299947	0.0408309	0.0370351
0.261	0.0299056	0.0407507	0.0369531
0.262	0.0298115	0.040658	0.0368607
0.263	0.0297373	0.0405846	0.0367868
0.264	0.0296418	0.0405007	0.036698
0.265	0.0295541	0.0404139	0.0366079
0.266	0.029468	0.0403337	0.0365271
0.267	0.0293813	0.0402503	0.0364378
0.268	0.0292958	0.0401664	0.0363543
0.269	0.0292045	0.0400816	0.0362663
0.27	0.0291276	0.0400077	0.0361873
0.271	0.0290331	0.0399222	0.0360959
0.272	0.0289448	0.0398341	0.0360048
0.273	0.0288569	0.0397439	0.0359158
0.274	0.0287715	0.0396635	0.0358297
0.275	0.0286901	0.039588	0.0357447
0.276	0.0285993	0.0395004	0.0356541
0.277	0.0285196	0.0394185	0.0355674
0.278	0.0284351	0.0393351	0.035478
0.279	0.0283471	0.0392493	0.0353884
0.28	0.0282675	0.0391772	0.035306
0.281	0.0281794	0.0390922	0.0352135
0.282	0.028096	0.0390027	0.0351202
0.283	0.0280273	0.0389366	0.0350432
0.284	0.0279466	0.0388538	0.0349517
0.285	0.0278715	0.0387748	0.0348676
0.286	0.0277974	0.0387014	0.034782
0.287	0.0277288	0.0386257	0.0346964
0.288	0.027661	0.0385547	0.0346171
0.289	0.0275874	0.0384748	0.0345255
0.29	0.0275197	0.0384067	0.0344449
0.291	0.0274588	0.0383437	0.0343693
0.292	0.0273855	0.0382689	0.0342807
0.293	0.0273285	0.0382019	0.0342035
0.294	0.0272642	0.0381323	0.0341199
0.295	0.0272039	0.0380649	0.0340392
0.296	0.0271374	0.037989	0.0339581
0.297	0.027075	0.0379196	0.0338722
0.298	0.0270185	0.0378619	0.0337971
0.299	0.0269583	0.0377878	0.0337169
0.3	0.0269074	0.0377253	0.0336424
0.301	0.0268483	0.0376706	0.033568
