L	opf	cc	jcc
0.647	0.0857568	0.0796812	0.0790004
0.648	0.0854271	0.0793655	0.0786837
0.649	0.0850664	0.0790073	0.0783252
0.65	0.0847411	0.0786928	0.0780096
0.651	0.0844218	0.0783682	0.0776848
0.652	0.0841079	0.0780506	0.0773682
0.653	0.0837689	0.0776985	0.0770137
0.654	0.0835044	0.0774441	0.0767592
0.655	0.0832284	0.0771501	0.0764646
0.656	0.0829298	0.0768402	0.076154
0.657	0.0825713	0.0764858	0.0757998
0.658	0.0821811	0.0761066	0.0754207
0.659	0.0819325	0.0758582	0.0751703
0.66	0.0816556	0.0755545	0.0748655
0.661	0.0813615	0.0752637	0.0745754
0.662	0.0810736	0.0749742	0.0742837
0.663	0.0807594	0.0746659	0.0739755
0.664	0.0804504	0.0743579	0.0736673
0.665	0.0801617	0.0740667	0.073375
0.666	0.0798771	0.0737581	0.0730669
0.667	0.0795885	0.0734844	0.0727913
0.668	0.0791836	0.0730784	0.0723863
0.669	0.0789646	0.0728374	0.0721439
0.67	0.0786501	0.0725188	0.071824
0.671	0.0783636	0.0722569	0.0715621
0.672	0.0780621	0.0719419	0.0712457
0.673	0.0777759	0.0716576	0.0709609
0.674	0.0774811	0.071367	0.0706697
0.675	0.077252	0.0711085	0.0704107
0.676	0.0769638	0.0708268	0.0701271
0.677	0.0766428	0.0704961	0.069797
0.678	0.0764015	0.0702424	0.0695418
0.679	0.0761366	0.0699817	0.0692798
0.68	0.0758111	0.0696344	0.0689317
0.681	0.0755428	0.0693753	0.0686718
0.682	0.0752444	0.0690669	0.0683625
0.683	0.0749467	0.0687691	0.0680642
0.684	0.0746556	0.0684878	0.0677814
0.685	0.074471	0.0682737	0.0675667
0.686	0.0741805	0.0679822	0.0672742
0.687	0.0738627	0.0676528	0.0669443
0.688	0.0736089	0.0674038	0.0666937
0.689	0.0733341	0.0671167	0.0664059
0.69	0.0730858	0.0668606	0.0661491
0.691	0.0727662	0.0665379	0.0658255
0.692	0.0725563	0.0663183	0.0656058
0.693	0.0722342	0.0659979	0.0652849
0.694	0.0720228	0.0657774	0.0650634
