L	ropf	rcc	rsjc
0.9556	0.02896	0.0198633	0.012045
0.9559	0.0288857	0.019774	0.0119315
0.9562	0.028811	0.0196841	0.0118179
0.9565	0.028736	0.0195936	0.0117043
0.9568	0.0286606	0.0195025	0.0115908
0.9571	0.0285849	0.0194109	0.0114773
0.9574	0.0285088	0.0193187	0.0113638
0.9577	0.0284325	0.0192258	0.0112504
0.958	0.0283558	0.0191323	0.0111372
0.9583	0.0282789	0.0190382	0.0110241
0.9586	0.0282017	0.0189434	0.0109112
0.9589	0.0281242	0.0188479	0.0107985
0.9592	0.0280465	0.0187518	0.0106861
0.9595	0.0279686	0.0186549	0.010574
0.9598	0.0278904	0.0185574	0.0104622
0.9601	0.027812	0.0184591	0.0103507
0.9604	0.0277334	0.01836	0.0102396
0.9607	0.0276546	0.0182603	0.010129
0.961	0.0275756	0.0181597	0.0100188
0.9613	0.0274965	0.0180584	0.00990912
0.9616	0.0274171	0.0179562	0.00979995
0.9619	0.0273376	0.0178533	0.00969135
0.9622	0.0272579	0.0177495	0.00958335
0.9625	0.0271781	0.0176448	0.00947597
0.9628	0.0270981	0.0175393	0.00936926
0.9631	0.0270179	0.0174329	0.00926325
0.9634	0.0269376	0.0173256	0.00915797
0.9637	0.0268571	0.0172173	0.00905344
0.964	0.0267765	0.0171082	0.00894971
0.9643	0.0266957	0.016998	0.0088468
0.9646	0.0266147	0.0168869	0.00874475
0.9649	0.0265336	0.0167748	0.00864357
0.9652	0.0264523	0.0166617	0.00854332
0.9655	0.0263709	0.0165476	0.008444
0.9658	0.0262893	0.0164324	0.00834565
0.9661	0.0262075	0.0163162	0.00824831
0.9664	0.0261255	0.0161989	0.00815198
0.9667	0.0260433	0.0160805	0.00805672
0.967	0.0259609	0.015961	0.00796253
0.9673	0.0258784	0.0158404	0.00786944
0.9676	0.0257956	0.0157186	0.00777749
0.9679	0.0257127	0.0155957	0.00768669
0.9682	0.0256295	0.0154716	0.00759707
0.9685	0.0255461	0.0153464	0.00750865
0.9688	0.0254625	0.0152199	0.00742146
0.9691	0.0253788	0.0150923	0.0073355
0.9694	0.0252948	0.0149634	0.00725081
0.9697	0.0252106	0.0148334	0.0071674
0.97	0.0251262	0.0147021	0.00708528
0.9703	0.0250417	0.0145696	0.00700448
0.9706	0.0249569	0.0144359	0.006925
0.9709	0.0248721	0.0143009	0.00684685
0.9712	0.024787	0.0141647	0.00677005
0.9715	0.0247019	0.0140273	0.00669459
0.9718	0.0246166	0.0138887	0.0066205
0.9721	0.0245312	0.0137489	0.00654776
0.9724	0.0244458	0.0136079	0.00647638
0.9727	0.0243603	0.0134657	0.00640635
0.973	0.0242749	0.0133224	0.00633767
0.9733	0.0241894	0.0131779	0.00627034
0.9736	0.024104	0.0130323	0.00620434
0.9739	0.0240187	0.0128856	0.00613966
0.9742	0.0239336	0.0127378	0.00607629
0.9745	0.0238486	0.012589	0.0060142
0.9748	0.0237639	0.0124392	0.00595338
0.9751	0.0236794	0.0122884	0.0058938
0.9754	0.0235953	0.0121367	0.00583545
0.9757	0.0235116	0.0119841	0.00577829
0.976	0.0234283	0.0118307	0.00572229
0.9763	0.0233454	0.0116765	0.00566743
0.9766	0.0232632	0.0115216	0.00561368
0.9769	0.0231815	0.0113659	0.00556099
0.9772	0.0231006	0.0112097	0.00550934
0.9775	0.0230204	0.0110529	0.00545869
0.9778	0.022941	0.0108955	0.005409
0.9781	0.0228626	0.0107377	0.00536024
0.9784	0.0227851	0.0105796	0.00531237
0.9787	0.0227086	0.0104211	0.00526535
0.979	0.0226333	0.0102624	0.00521914
0.9793	0.0225593	0.0101035	0.00517371
0.9796	0.0224865	0.00994448	0.00512902
0.9799	0.0224151	0.00978546	0.00508503
0.9802	0.0223452	0.00962648	0.00504171
0.9805	0.022277	0.00946763	0.00499902
0.9808	0.0222104	0.00930899	0.00495693
0.9811	0.0221457	0.00915062	0.0049154
0.9814	0.0220829	0.00899263	0.00487442
0.9817	0.0220221	0.00883508	0.00483394
0.982	0.0219636	0.00867806	0.00479395
0.9823	0.0219074	0.00852166	0.00475441
0.9826	0.0218537	0.00836597	0.00471531
0.9829	0.0218026	0.00821107	0.00467663
0.9832	0.0217543	0.00805705	0.00463835
0.9835	0.021709	0.00790401	0.00460046
0.9838	0.021667	0.00775205	0.00456294
0.9841	0.0216283	0.00760125	0.00452579
0.9844	0.0215932	0.00745171	0.004489
0.9847	0.021562	0.00730355	0.00445258
0.985	0.0215349	0.00715685	0.00441653
0.9853	0.0215123	0.00701173	0.00438085
0.9856	0.0214943	0.0068683	0.00434556
0.9859	0.0214813	0.00672666	0.00431067
0.9862	0.0214738	0.00658692	0.00427621
0.9865	0.021472	0.00644922	0.0042422
0.9868	0.0214763	0.00631366	0.00420868
0.9871	0.0214873	0.00618037	0.00417567
0.9874	0.0215055	0.00604948	0.00414324
0.9877	0.0215313	0.00592113	0.00411143
0.988	0.0215653	0.00579543	0.00408029
0.9883	0.0216083	0.00567255	0.00404991
0.9886	0.0216608	0.00555262	0.00402034
0.9889	0.0217238	0.00543579	0.00399169
0.9892	0.021798	0.00532223	0.00396405
0.9895	0.0218844	0.0052121	0.00393753
0.9898	0.0219842	0.00510557	0.00391225
0.9901	0.0220984	0.00500283	0.00388835
0.9904	0.0222285	0.00490407	0.00386599
0.9907	0.022376	0.00480951	0.00384534
0.991	0.0225425	0.00471937	0.00382661
0.9913	0.0227301	0.00463389	0.00381002
0.9916	0.0229409	0.00455334	0.00379583
0.9919	0.0231775	0.00447803	0.00378432
0.9922	0.0234428	0.00440828	0.00377583
0.9925	0.0237402	0.00434446	0.00377075
0.9928	0.0240737	0.00428701	0.00376952
0.9931	0.024448	0.00423642	0.00377266
0.9934	0.0248684	0.00419324	0.00378077
0.9937	0.0253416	0.00415816	0.00379457
0.994	0.0258754	0.00413198	0.00381493
0.9943	0.0264793	0.00411565	0.00384286
0.9946	0.0271649	0.00411034	0.00387962
0.9949	0.0279464	0.0041175	0.00392674
0.9952	0.0288419	0.00413893	0.00398615
0.9955	0.0298739	0.0041769	0.00406024
0.9958	0.0310717	0.00423436	0.00415213
0.9961	0.0324734	0.00431514	0.00426584
