L	opf	cc	jcc
0.147	0.0233217	0.0322799	0.0286007
0.148	0.0232756	0.0322343	0.0285529
0.149	0.0232311	0.0321847	0.0285028
0.15	0.0231858	0.0321454	0.0284586
0.151	0.0231405	0.0320983	0.0284115
0.152	0.0230899	0.0320457	0.0283577
0.153	0.0230383	0.031997	0.028306
0.154	0.0230017	0.0319565	0.0282632
0.155	0.0229582	0.0319126	0.0282185
0.156	0.0229033	0.0318567	0.0281612
0.157	0.022864	0.0318121	0.0281155
0.158	0.0228193	0.0317724	0.0280736
0.159	0.0227725	0.0317212	0.0280211
0.16	0.0227217	0.0316718	0.0279689
0.161	0.0226844	0.0316327	0.0279293
0.162	0.0226415	0.0315905	0.0278839
0.163	0.0225975	0.0315432	0.0278341
0.164	0.0225587	0.0315024	0.0277929
0.165	0.022504	0.0314483	0.0277347
0.166	0.0224614	0.0314045	0.0276908
0.167	0.0224125	0.031352	0.0276364
0.168	0.0223666	0.0313015	0.0275859
0.169	0.0223217	0.0312576	0.027539
0.17	0.0222803	0.0312156	0.0274956
0.171	0.022242	0.0311771	0.0274531
0.172	0.0222042	0.0311333	0.0274089
0.173	0.0221478	0.0310794	0.0273538
0.174	0.0221246	0.0310459	0.0273174
0.175	0.0220685	0.0309932	0.0272639
0.176	0.0220325	0.0309538	0.0272223
0.177	0.0219875	0.0309082	0.0271757
0.178	0.0219448	0.0308659	0.0271285
0.179	0.0219073	0.0308193	0.0270842
0.18	0.0218652	0.0307739	0.0270368
0.181	0.0218283	0.030743	0.027001
0.182	0.021779	0.0306787	0.0269373
0.183	0.0217365	0.0306417	0.0268975
0.184	0.0217107	0.0306081	0.0268635
0.185	0.0216719	0.0305636	0.0268167
0.186	0.02162	0.0305125	0.0267648
0.187	0.0215828	0.030472	0.026721
0.188	0.021551	0.0304363	0.0266853
0.189	0.0215062	0.030385	0.026633
0.19	0.0214654	0.0303443	0.0265892
0.191	0.0214259	0.0302997	0.0265427
0.192	0.0213907	0.0302604	0.0264993
0.193	0.0213519	0.0302196	0.0264585
0.194	0.0213113	0.0301779	0.0264152
0.195	0.0212706	0.0301318	0.0263678
0.196	0.0212347	0.0300916	0.0263247
0.197	0.0211941	0.0300443	0.0262778
0.198	0.0211582	0.0300076	0.026238
0.199	0.0211161	0.0299589	0.0261872
0.2	0.0210797	0.0299165	0.0261444
0.201	0.0210477	0.0298809	0.0261072
0.202	0.0210014	0.0298314	0.0260566
0.203	0.0209723	0.0297983	0.0260203
0.204	0.0209344	0.0297557	0.0259768
0.205	0.0208969	0.0297096	0.0259302
0.206	0.0208661	0.0296798	0.0258969
0.207	0.0208168	0.0296255	0.0258417
0.208	0.020792	0.0295986	0.0258114
0.209	0.0207559	0.0295539	0.0257677
0.21	0.020711	0.0295013	0.0257143
0.211	0.0206763	0.0294674	0.0256763
0.212	0.0206474	0.0294296	0.0256372
0.213	0.0206063	0.0293856	0.0255926
0.214	0.0205765	0.0293426	0.0255501
0.215	0.020542	0.029311	0.0255142
0.216	0.0205061	0.029265	0.0254687
0.217	0.0204645	0.0292203	0.0254226
0.218	0.0204384	0.029185	0.0253853
0.219	0.0204081	0.0291505	0.0253498
0.22	0.0203673	0.0291037	0.0253025
0.221	0.0203204	0.0290548	0.0252506
0.222	0.0203013	0.029027	0.0252216
0.223	0.0202581	0.0289776	0.025172
0.224	0.0202342	0.028947	0.0251377
0.225	0.0201906	0.0289022	0.0250926
0.226	0.0201578	0.0288593	0.0250482
0.227	0.0201349	0.0288361	0.025022
0.228	0.0200956	0.0287898	0.0249738
0.229	0.0200608	0.0287433	0.0249277
0.23	0.0200414	0.0287198	0.024901
0.231	0.0199956	0.0286685	0.0248497
0.232	0.0199705	0.0286349	0.024815
0.233	0.0199252	0.0285886	0.0247654
0.234	0.0199041	0.0285594	0.0247367
0.235	0.0198685	0.0285212	0.0246944
0.236	0.0198478	0.0284957	0.0246654
0.237	0.0198176	0.0284548	0.0246244
0.238	0.0197713	0.0284051	0.0245731
0.239	0.0197393	0.0283613	0.0245293
0.24	0.0196896	0.0283095	0.0244759
0.241	0.0196799	0.0282934	0.0244571
0.242	0.0196478	0.0282569	0.0244172
0.243	0.0196167	0.0282228	0.024381
0.244	0.0195762	0.0281695	0.0243279
0.245	0.0195487	0.0281344	0.0242919
0.246	0.0195327	0.0281152	0.024269
0.247	0.0194969	0.0280721	0.0242261
0.248	0.0194606	0.0280282	0.0241779
0.249	0.0194248	0.0279866	0.0241362
0.25	0.0194	0.0279612	0.024108
0.251	0.0193562	0.0279057	0.0240516
0.252	0.0193358	0.0278855	0.0240281
0.253	0.0193154	0.0278508	0.0239925
0.254	0.0192772	0.0278056	0.0239468
0.255	0.019238	0.0277626	0.0239025
0.256	0.0192232	0.0277466	0.0238807
0.257	0.0191891	0.0277037	0.023836
0.258	0.019164	0.0276757	0.0238051
0.259	0.0191256	0.027626	0.0237568
0.26	0.0190885	0.0275845	0.0237122
0.261	0.0190624	0.0275505	0.0236759
0.262	0.0190407	0.0275201	0.0236424
0.263	0.0190027	0.0274781	0.0235988
0.264	0.0189772	0.027443	0.0235629
0.265	0.0189437	0.0274118	0.0235265
0.266	0.018925	0.0273774	0.0234932
0.267	0.0188837	0.027337	0.0234487
0.268	0.0188573	0.0273023	0.0234106
0.269	0.0188374	0.027275	0.0233802
0.27	0.0188066	0.0272335	0.0233396
0.271	0.0187802	0.0272011	0.0233048
0.272	0.0187589	0.0271774	0.0232757
0.273	0.0187241	0.0271362	0.0232345
0.274	0.018691	0.027092	0.0231875
0.275	0.0186544	0.0270545	0.023146
0.276	0.0186411	0.0270326	0.023122
0.277	0.0186102	0.0269945	0.0230838
0.278	0.0185768	0.0269516	0.0230369
0.279	0.0185546	0.0269224	0.0230049
0.28	0.0185312	0.0268953	0.0229741
0.281	0.0184944	0.0268529	0.0229302
0.282	0.0184772	0.0268263	0.0228981
0.283	0.0184443	0.0267866	0.0228582
0.284	0.0184179	0.0267542	0.022821
0.285	0.0183903	0.0267156	0.0227823
0.286	0.0183638	0.0266783	0.0227414
