L	opf	cc	jcc
0.795	0.0669206	0.0614661	0.0609455
0.796	0.0666017	0.0611873	0.060664
0.797	0.0662584	0.0608766	0.0603497
0.798	0.0659564	0.0605922	0.0600624
0.799	0.0655596	0.0602326	0.0596993
0.8	0.0653231	0.0600307	0.0594946
0.801	0.0649674	0.0596709	0.0591311
0.802	0.0647475	0.059477	0.0589357
0.803	0.0644247	0.0591731	0.0586272
0.804	0.0640783	0.0588531	0.0583063
0.805	0.0638331	0.0586394	0.0580905
0.806	0.0635522	0.0583481	0.0577972
0.807	0.0633029	0.0581068	0.0575548
0.808	0.0630366	0.0578334	0.057281
0.809	0.0627622	0.0575818	0.057029
0.81	0.0625482	0.0573731	0.0568172
0.811	0.0622437	0.0570611	0.0565055
0.812	0.0620909	0.0569071	0.0563497
0.813	0.0617772	0.0565823	0.0560246
0.814	0.0615463	0.056364	0.0558048
0.815	0.0613353	0.0561078	0.0555467
0.816	0.0611686	0.0559162	0.0553513
0.817	0.0608409	0.0555908	0.0550239
0.818	0.0606887	0.0553916	0.054822
0.819	0.0604811	0.0551594	0.0545872
0.82	0.0602666	0.0548791	0.0543036
0.821	0.0600585	0.0546519	0.0540748
0.822	0.0598869	0.0544121	0.053833
0.823	0.0597288	0.0542102	0.0536282
0.824	0.0594993	0.0539216	0.0533395
0.825	0.059319	0.0536638	0.0530812
0.826	0.0591704	0.0534616	0.0528771
0.827	0.0590113	0.0532485	0.0526643
0.828	0.0588111	0.052978	0.0523922
0.829	0.0586006	0.0527099	0.0521236
0.83	0.0583907	0.0524431	0.051856
0.831	0.0582272	0.0522033	0.051614
0.832	0.0581145	0.0520221	0.0514317
0.833	0.0578949	0.0517498	0.0511557
0.834	0.0577006	0.0514943	0.0508982
0.835	0.0575375	0.0512578	0.050658
0.836	0.0573253	0.0509971	0.0503948
0.837	0.0571616	0.0507591	0.0501528
0.838	0.0570591	0.0505955	0.0499857
0.839	0.0568699	0.0503479	0.0497346
0.84	0.0566931	0.0501204	0.0495024
0.841	0.0565145	0.0498721	0.0492507
