L	opf	cc	jcc
0.147	0.0233245	0.0322829	0.0263983
0.148	0.0232755	0.0322319	0.0263461
0.149	0.0232311	0.0321865	0.0262986
0.15	0.0231901	0.0321459	0.026253
0.151	0.0231469	0.032102	0.026206
0.152	0.0230891	0.0320421	0.0261494
0.153	0.0230372	0.0319914	0.0260905
0.154	0.0229965	0.0319495	0.0260449
0.155	0.0229435	0.0319019	0.0259904
0.156	0.0229072	0.0318615	0.0259518
0.157	0.0228621	0.0318195	0.0259049
0.158	0.0228154	0.0317664	0.0258479
0.159	0.0227788	0.0317282	0.0258071
0.16	0.0227254	0.0316784	0.0257538
0.161	0.0226855	0.0316359	0.0257097
0.162	0.0226467	0.0315947	0.0256615
0.163	0.0225922	0.031534	0.0256009
0.164	0.0225416	0.0314857	0.0255478
0.165	0.0225079	0.0314519	0.0255105
0.166	0.0224673	0.0314122	0.0254656
0.167	0.0224154	0.0313571	0.0254096
0.168	0.0223719	0.0313143	0.0253592
0.169	0.0223396	0.0312749	0.0253175
0.17	0.0222872	0.031221	0.025264
0.171	0.0222425	0.0311755	0.0252129
0.172	0.0222076	0.0311427	0.0251744
0.173	0.0221644	0.0310902	0.0251199
0.174	0.0221114	0.0310345	0.0250631
0.175	0.0220746	0.0309982	0.0250188
0.176	0.0220393	0.0309622	0.0249792
0.177	0.0219848	0.0309033	0.0249181
0.178	0.021952	0.0308649	0.0248767
0.179	0.0219139	0.0308308	0.0248353
0.18	0.0218659	0.0307754	0.0247778
0.181	0.0218211	0.030732	0.0247284
0.182	0.0217772	0.0306877	0.0246802
0.183	0.0217459	0.0306509	0.0246391
0.184	0.0216948	0.0305981	0.024583
0.185	0.0216576	0.0305516	0.0245321
0.186	0.0216362	0.0305293	0.0245046
0.187	0.0215884	0.03048	0.0244516
0.188	0.0215502	0.0304361	0.0244046
0.189	0.0215128	0.0303946	0.0243564
0.19	0.0214732	0.0303491	0.0243085
0.191	0.0214239	0.0302989	0.024253
0.192	0.0213837	0.0302598	0.0242071
0.193	0.0213505	0.0302166	0.0241626
0.194	0.0213097	0.0301725	0.0241133
0.195	0.0212751	0.0301334	0.0240726
0.196	0.0212253	0.030076	0.0240136
0.197	0.0211973	0.0300484	0.0239771
0.198	0.0211527	0.0300002	0.0239226
0.199	0.0211286	0.0299711	0.023888
0.2	0.0210869	0.0299239	0.0238373
0.201	0.0210465	0.0298783	0.023791
0.202	0.0210096	0.0298394	0.0237449
0.203	0.0209696	0.0297975	0.0236968
0.204	0.0209366	0.0297579	0.0236536
0.205	0.0208947	0.0297122	0.0236012
0.206	0.0208568	0.0296681	0.023556
0.207	0.0208156	0.0296204	0.0235014
0.208	0.0207836	0.0295873	0.0234644
0.209	0.0207505	0.0295494	0.0234197
0.21	0.0207235	0.0295137	0.0233801
0.211	0.0206774	0.0294567	0.0233229
0.212	0.0206444	0.0294303	0.0232834
0.213	0.0206117	0.029391	0.0232418
0.214	0.020582	0.0293531	0.0231981
