L	opf	cc	jcc
0.146	0.0139587	0.0209803	0.0131942
0.147	0.0139553	0.0209737	0.0131819
0.148	0.013939	0.0209523	0.0131573
0.149	0.0139313	0.0209404	0.0131425
0.15	0.0139241	0.0209304	0.0131243
0.151	0.0139184	0.0209208	0.0131101
0.152	0.013887	0.0208825	0.0130819
0.153	0.0138634	0.0208569	0.0130422
0.154	0.0138517	0.020844	0.0130228
0.155	0.0138231	0.0208182	0.0129932
0.156	0.0138305	0.020815	0.0129964
0.157	0.0138216	0.0208021	0.0129797
0.158	0.0137991	0.0207745	0.012943
0.159	0.0138052	0.0207754	0.0129416
0.16	0.0137732	0.0207417	0.0129081
0.161	0.0137732	0.0207368	0.0129027
0.162	0.0137631	0.0207242	0.0128775
0.163	0.0137323	0.0206897	0.0128432
0.164	0.0137113	0.0206645	0.0128145
0.165	0.0137111	0.0206565	0.0128099
0.166	0.0137011	0.02065	0.0127947
0.167	0.0136744	0.0206179	0.0127624
0.168	0.0136603	0.0206036	0.0127387
0.169	0.013664	0.0205987	0.0127289
0.17	0.0136344	0.0205644	0.012699
0.171	0.0136229	0.0205489	0.012678
0.172	0.0136189	0.0205471	0.012669
0.173	0.0135994	0.0205214	0.0126391
0.174	0.0135714	0.0204872	0.0126063
0.175	0.0135648	0.0204787	0.0125902
0.176	0.0135651	0.020473	0.0125846
0.177	0.0135313	0.0204406	0.012547
0.178	0.013533	0.0204323	0.0125377
0.179	0.0135242	0.0204215	0.0125205
0.18	0.0134977	0.020392	0.0124891
0.181	0.0134755	0.0203691	0.0124607
0.182	0.0134568	0.0203465	0.0124376
0.183	0.0134629	0.0203476	0.012434
0.184	0.0134301	0.0203146	0.0123999
0.185	0.0134214	0.0202984	0.0123744
0.186	0.0134395	0.0203103	0.012386
0.187	0.013412	0.0202821	0.0123563
0.188	0.0134023	0.0202636	0.0123369
0.189	0.0133853	0.0202472	0.012312
0.19	0.0133739	0.0202283	0.012291
0.191	0.0133429	0.0201971	0.0122552
0.192	0.013327	0.0201829	0.0122369
0.193	0.0133293	0.0201753	0.0122269
0.194	0.0133077	0.0201498	0.0121967
0.195	0.0133016	0.0201367	0.0121894
0.196	0.013274	0.0201017	0.012156
0.197	0.0132754	0.0201031	0.0121478
0.198	0.0132475	0.0200754	0.0121134
0.199	0.0132535	0.0200775	0.0121095
0.2	0.0132345	0.0200526	0.0120824
0.201	0.0132246	0.0200333	0.0120694
0.202	0.0132083	0.0200186	0.0120465
0.203	0.0131847	0.0199955	0.0120193
0.204	0.0131814	0.019983	0.012004
0.205	0.0131594	0.0199616	0.0119757
0.206	0.0131483	0.0199392	0.0119612
0.207	0.0131266	0.0199182	0.0119271
0.208	0.0131185	0.0199086	0.011923
0.209	0.0131098	0.0198966	0.0118993
0.21	0.0131129	0.0198925	0.0118924
0.211	0.0130867	0.0198558	0.0118576
0.212	0.01307	0.0198489	0.0118367
0.213	0.0130646	0.0198352	0.0118271
0.214	0.0130542	0.019821	0.0118059
0.215	0.0130318	0.0197973	0.0117784
0.216	0.0130167	0.0197829	0.0117572
0.217	0.01301	0.0197613	0.0117386
0.218	0.0129948	0.0197459	0.0117248
0.219	0.0129736	0.0197211	0.0116951
0.22	0.0129633	0.0197066	0.0116762
0.221	0.0129571	0.0196974	0.0116618
0.222	0.0129446	0.0196754	0.0116452
0.223	0.0129213	0.0196599	0.0116166
0.224	0.0129003	0.0196298	0.0115836
0.225	0.0128977	0.0196229	0.011578
0.226	0.0129007	0.0196156	0.0115699
0.227	0.0128785	0.0195997	0.0115492
0.228	0.0128704	0.0195776	0.0115299
0.229	0.0128521	0.0195588	0.0115011
0.23	0.0128345	0.0195394	0.0114712
0.231	0.0128249	0.019527	0.0114625
0.232	0.012821	0.0195167	0.0114502
0.233	0.012801	0.019494	0.0114222
0.234	0.0127868	0.0194828	0.0114064
0.235	0.0127591	0.0194504	0.0113725
0.236	0.0127633	0.0194505	0.0113658
0.237	0.012734	0.0194166	0.0113376
0.238	0.0127229	0.0193988	0.0113168
0.239	0.0127262	0.0193993	0.0113079
0.24	0.0127125	0.0193809	0.0112943
0.241	0.0126979	0.019362	0.0112688
0.242	0.0126933	0.0193517	0.011246
0.243	0.012675	0.0193349	0.0112285
0.244	0.0126592	0.0193132	0.0112048
