cap x rhox delta ls
52.40063 0 0 0 1336.67804
54.728484375 13 0 0.30185979222 1370.23106
55.3104479687 15 13 0.291020659268 1317.82879333
55.6014297656 16 15 0.024790641515 1313.71919333

55.7469206641 17 16 0.90165132849 1349.63607333
55.8924115625 14 17 0.0093877601293 1347.89484
57.05633875 12 14 0.0621191043067 1354.04554
59.384193125 18 12 0.0741505048021 1359.57712
59.9661567187 20 18 0.0146548666441 1351.45061333
60.1116476172 22 20 0.0115465056333 1352.31347333
60.1843930664 23 22 0.00441679881176 1355.15320667

60.2571385156 21 23 0.703525215615 1373.32694667
60.5481203125 19 21 0.010896836047 1373.97539333
61.7120475 11 19 0.0296911431007 1379.88071333
66.36775625 24 11 0.0327888959694 1390.27067333
66.6587380469 28 24 0.0139203929004 1384.93862667
66.8042289453 29 28 0.00737762088673 1382.15990667
66.8769743945 30 29 0.00536361218494 1380.52832667

66.9497198437 27 30 0.700592833922 1423.37490667
67.5316834375 26 27 0.0964907577971 1405.62710667
68.695610625 25 26 0.0130567305708 1420.00882
69.8595378125 38 25 0.0479770432625 1405.11945333
70.1505196094 40 38 0.00721786033781 1398.19756
70.2960105078 41 40 0.402547575318 1427.33195333
70.4415014063 39 41 0.0042890147253 1423.72567333
71.023465 3 39 0.0121322738966 1431.81835333
73.351319375 32 3 0.0145768990839 1426.03082
73.4968102734 36 32 0.00536291565669 1432.43082

73.5695557226 37 36 0.484348903097 1425.27734
73.6423011719 35 37 0.308899782514 1406.41117333
73.9332829688 34 35 0.00475343288802 1409.96078
74.5152465625 33 34 0.00770442066726 1410.6492
75.67917375 31 33 0.00909108853946 1404.09786
80.3348825 4 31 0.0126485493129 1402.08387333
84.99059125 5 4 0.00959329098792 1401.39228667
87.318445625 6 5 0.00266593883453 1402.57512
88.4823728125 7 6 0.0306323533511 1395.62737333
89.0643364062 8 7 0.000941767882623 1395.88158667
89.3553182031 9 8 0.000621720814469 1395.10243333
89.5008091016 10 9 0.0 1395.12535333

89.6463 2 10 0.859578691622 1343.43008667
202.40063 1 2 0.0 1342.32941333
