name cap smp ex st se min max var cvar
 35 11.69 1500 1381.96708667 271.783833943 7.01742841754 556.0 2123.0 1816.05 1897.44813333
 36 12.024 1500 1380.64046 276.222418045 7.13203216626 329.2 2110.0 1813.0 1886.94146667
 37 12.358 1500 1374.31997333 277.13224822 7.15552388035 563.36 2127.88 1811.9 1892.86026667
 38 12.692 1500 1378.93540667 275.006199585 7.10062954066 480.38 2128.0 1810.0 1887.05826667
 39 13.026 1500 1383.08681333 272.670457527 7.04032094003 106.0 2128.0 1815.0 1887.8648
 40 13.36 1500 1388.90429333 268.623841229 6.9358377565 106.0 2143.0 1815.0 1892.43426667
 41 13.694 1500 1389.23676 268.901060987 6.94299553988 480.38 2143.0 1816.48 1892.34813333
 42 14.028 1500 1390.70821333 270.285168221 6.97873303497 218.36 2143.0 1818.63 1902.27093333
 43 14.362 1500 1384.08339333 271.532289269 7.01093356197 218.36 2143.0 1816.36 1902.06826667
 44 14.696 1500 1419.25584667 280.473262986 7.24178851067 461.47 2114.0 1855.1 1939.85373333
 45 15.03 1500 1405.69078 280.521593572 7.24303640103 4.36 2114.0 1850.79 1933.1176
 46 15.364 1500 1406.13635333 281.102324463 7.25803080818 4.36 2114.0 1860.0 1935.8208
 47 15.698 1500 1402.09852667 276.59117661 7.14155347145 4.36 2106.0 1849.44 1930.7464
 48 16.032 1500 1415.37313333 276.483776021 7.13878040017 451.12 2114.0 1856.28 1930.50226667
 49 16.366 1500 1419.72959333 275.07857305 7.10249821547 451.12 2114.0 1856.28 1938.86613333
 50 16.7 1500 1417.35530667 276.952552906 7.1508841673 451.12 2114.0 1864.77 1946.86333333
 51 17.034 1500 1411.15849333 281.765695288 7.27515896923 451.12 2098.37 1868.0 1944.4716
 52 17.368 1500 1402.7814 281.668881784 7.2726592553 451.12 2098.37 1855.39 1935.85866667
 53 17.702 1500 1398.22845333 286.121022232 7.38761302735 188.0 2112.0 1847.11 1931.63386667
 54 18.036 1500 1422.97668 274.931972678 7.09871301015 547.27 2125.0 1855.88 1933.51186667
 55 18.37 1500 1429.7486 272.281046458 7.03026638947 319.4 2135.0 1854.37 1930.40066667
 56 18.704 1500 1429.84032667 270.525806149 6.98494627957 319.4 2135.0 1851.0 1931.02053333
 57 19.038 1500 1428.62238 271.610794951 7.01296056997 319.4 2135.0 1861.11 1938.8184
 58 19.372 1500 1427.57927333 270.55664527 6.98574254224 596.59 2135.0 1854.25 1933.61506667
 59 19.706 1500 1430.8347 269.246123776 6.95190502278 609.65 2135.0 1854.25 1937.478
 60 20.04 1500 1427.79778 266.886124674 6.89097010798 235.41 2131.0 1854.37 1928.904
 61 20.374 1500 1425.59656667 270.80773476 6.99222564499 609.65 2108.11 1854.0 1923.8884
 62 20.708 1500 1424.48085333 276.411150433 7.13690521557 609.65 2108.11 1857.77 1930.93226667
 63 21.042 1500 1431.35777333 271.136392164 7.00071154267 609.65 2171.0 1857.37 1936.07013333
 64 21.376 1500 1406.83012667 284.990222665 7.35841590809 204.91 2114.0 1849.0 1928.38706667
 65 21.71 1500 1407.05276667 285.583098496 7.37372389623 204.91 2114.0 1850.07 1926.6232
 66 22.044 1500 1411.13400667 278.004748528 7.17805174143 555.04 2114.0 1844.16 1920.9848
 67 22.378 1500 1408.81011333 278.022751536 7.17851657711 204.91 2093.7 1838.48 1909.8212
 68 22.712 1500 1403.66863333 284.023189769 7.33344722609 204.91 2093.7 1847.38 1919.01493333
 69 23.046 1500 1404.29832 283.093869741 7.30945228613 204.91 2093.7 1847.38 1921.6808
 70 23.38 1500 1403.75073333 279.836550469 7.22534866418 567.67 2093.7 1849.41 1922.8964
 71 23.714 1500 1404.05022667 278.368295791 7.1874384914 567.67 2093.7 1848.23 1926.66906667
 72 24.048 1500 1404.27457333 279.91699105 7.22742563105 567.67 2093.7 1844.0 1921.4684
 73 24.382 1500 1410.09326667 278.507282095 7.19102710234 656.84 2077.77 1844.0 1920.22466667
 74 24.716 1500 1409.38388667 279.198146999 7.20886515745 579.35 2064.33 1838.41 1917.85853333
 75 25.05 1500 1408.13336 279.149656239 7.20761313143 579.35 2064.33 1845.0 1915.91693333
 76 25.384 1500 1408.28662 277.881977111 7.17488179708 579.35 2064.33 1835.87 1914.26973333
 77 25.718 1500 1407.55351333 280.225799493 7.23539903077 579.35 2064.33 1832.69 1909.86013333
 78 26.052 1500 1411.07154 278.674508084 7.1953448588 579.35 2064.33 1837.24 1911.41013333
 79 26.386 1500 1410.64930667 278.57299024 7.19272367935 579.35 2064.33 1838.37 1908.54546667
 80 26.72 1500 1408.37045333 278.223493394 7.1836997096 579.35 2065.77 1837.37 1908.83346667
 81 27.054 1500 1408.97943333 279.384418717 7.21367467253 579.35 2065.77 1840.0 1908.90346667
 82 27.388 1500 1407.94282 279.347531292 7.21272224331 579.35 2064.33 1838.37 1906.1372
 83 27.722 1500 1404.85923333 281.816858278 7.27647999193 579.35 2061.0 1833.84 1906.06146667
 84 28.056 1500 1401.98061333 282.285157652 7.28857142979 579.35 2061.0 1830.58 1901.3572
 85 28.39 1500 1400.40895333 281.828305745 7.27677556427 579.35 2061.0 1828.84 1899.0516
 86 28.724 1500 1401.51498 281.691874991 7.27325293736 579.35 2061.0 1827.0 1896.47706667
 87 29.058 1500 1401.12315333 282.49802058 7.29406752695 579.35 2061.0 1826.0 1895.0964
 88 29.392 1500 1402.17746667 280.36958049 7.23911144015 579.35 2061.0 1825.0 1895.15946667
 89 29.726 1500 1401.72199333 281.739194895 7.27447473202 579.35 2061.0 1820.9 1893.03666667
 90 30.06 1500 13979.35 2061.0 1819.0 1890.2208
 91 30.394 1500 1400.89118667 278.084103876 7.18010068771 579.35 2061.0 1819.37 1888.3432
 92 30.728 1500 1401.11646667 275.960939892 7.12528082938 579.35 2061.0 1818.11 1887.9044
 93 31.062 1500 1401.28422667 274.748280749 7.09397010492 579.35 2061.0 1818.11 1887.96106667
 94 31.396 1500 1402.67192 275.446375981 7.11199484631 579.35 2064.33 1819.37 1889.76666667
 95 31.73 1500 1403.23180667 275.49262391 7.11318896272 579.35 2064.33 1823.0 1889.85093333
 96 32.064 1500 1402.40600667 275.591384614 7.11573895312 579.35 2064.33 1822.79 1890.316
 97 32.398 1500 1401.75884 275.524615469 7.1140149812 579.35 2064.33 1822.46 1890.95266667
 98 32.732 1500 1401.26964667 275.280432818 7.10771021227 579.35 2064.33 1820.69 1890.0376
 99 33.066 1500 1401.97060667 275.5684527 7.11514685365 579.35 2064.33 1821.79 1890.076
 100 33.4 1500 1402.32039333 275.750264405 7.11984121168 579.35 2064.33 1821.45 1890.076
 101 33.734 1500 1402.28376667 275.544853032 7.11453751285 579.35 2064.33 1823.0 1889.26053333
 102 34.068 1500 1402.59765333 276.590829235 7.14154450227 579.35 2064.33 1825.0 1889.63453333
 103 34.402 1500 1402.61412667 276.407804802 7.13681883173 579.35 2064.33 1823.0 1889.5112
 104 34.736 1500 1403.08887333 276.49304543 7.13901973527 579.35 2064.33 1825.0 1889.56013333
 105 35.07 1500 1402.24753333 276.643248566 7.14289796359 579.35 2064.33 1820.69 1888.7844
 106 35.404 1500 1402.73522 275.501234745 7.11341129352 579.35 2064.33 1819.45 1889.9564
 107 35.738 1500 1394.92589333 276.964505911 7.15119279255 161.92 2097.0 1825.48 1893.2648
 108 36.072 1500 1395.7123 277.030815465 7.15290489787 161.92 2097.0 1827.0 1894.70173333
 109 36.406 1500 1395.69930667 276.552795357 7.14056247176 161.92 2097.0 1827.0 1894.70173333
 110 36.74 1500 1395.58672667 276.401396083 7.13665335931 161.92 2097.0 1825.48 1893.2648
 111 37.074 1500 1395.12576 275.614910504 7.11634638899 161.92 2097.0 1825.0 1890.2712
 112 37.408 1500 1343.38270667 278.007356485 7.1781190786 479.62 2110.0 1776.0 1861.74066667
 113 37.742 1500 1343.32294 277.959600042 7.17688601255 479.62 2110.0 1776.0 1861.74066667
 114 38.076 1500 1343.1519 277.87250851 7.17463731885 479.62 2110.0 1776.0 1861.74066667
 115 38.41 1500 1343.1519 277.87250851 7.17463731885 479.62 2110.0 1776.0 1861.74066667
 116 38.744 1500 1343.09249333 277.84569453 7.17394498488 479.62 2110.0 1776.0 1861.74066667
 117 39.078 1500 1343.04716 277.82788419 7.17348512386 479.62 2110.0 1776.0 1861.74066667
 118 39.412 1500 1342.96472667 277.878215969 7.17478468482 479.62 2110.0 1776.0 1861.74066667
 119 39.746 1500 1342.76496 277.755249298 7.17160969901 479.62 2110.0 1774.48 1861.356
 120 40.08 1500 1342.64542667 277.69080917 7.16994586206 479.62 2110.0 1774.48 1861.356
 
