cap x rhox delta ls
52.40063 0 0 0 1304.5316
52.9825935937 43 0 0.201220398077 1281.9774

53.0189663183 50 43 0.285682298544 1331.751
53.0553390429 49 50 0.000100592391507 1328.37
53.1280844922 48 49 0.0454145640377 1350.4066
53.2735753906 45 48 0.115699433243 1359.0276
53.5645571875 42 45 0.122951861377 1345.1826
54.728484375 13 42 0.143749252765 1357.6716
54.8012298242 46 13 0.0353251616661 1348.0738
54.8376025488 47 46 0.0356053678929 1333.8194

54.8739752734 44 47 0.295649849572 1296.4306
55.0194661718 41 44 0.0421454207517 1293.243
55.3104479687 15 41 0.122197016827 1328.6952
55.6014297656 16 15 0.0716813996409 1294.8806

55.7469206641 17 16 0.957107096597 1333.3628
55.8924115625 14 17 0.0361417564206 1351.6128
57.05633875 12 14 0.114672076882 1349.976
59.384193125 18 12 0.157557850106 1357.7798
59.9661567187 20 18 0.0410500274614 1324.3652
60.1116476172 22 20 0.0766637094752 1326.3428

60.2571385156 21 22 0.764320779953 1376.6746
60.5481203125 19 21 0.0771303056018 1369.0682
61.7120475 11 19 0.104239473759 1402.8918
66.36775625 23 11 0.171630240763 1359.8098
66.6587380469 27 23 0.0620138386754 1404.1066
66.8042289453 28 27 0.0466133387254 1375.3838

66.9497198437 26 28 0.761999008821 1477.8948
67.5316834375 25 26 0.214477638186 1451.7096
68.695610625 24 25 0.0826208651504 1365.0584
69.8595378125 36 24 0.136100731208 1403.9624
70.1505196094 38 36 0.0175874133724 1383.76
70.2232650586 40 38 0.0160693496055 1395.5648

70.2960105078 39 40 0.484831199921 1406.6712
70.4415014063 37 39 0.0279532890163 1421.7374
71.023465 3 37 0.0743887894492 1418.792
73.351319375 30 3 0.0655457165459 1420.3358
73.4968102734 34 30 0.0330525442917 1413.4432

73.5695557226 35 34 0.625548487517 1405.8836

73.6423011719 33 35 0.402482192991 1390.627
73.9332829688 32 33 0.0169732627775 1389.219
74.5152465625 31 32 0.0372009657852 1381.9554
75.67917375 29 31 0.0671355449801 1359.4652
80.3348825 4 29 0.0683588012537 1358.1464
84.99059125 5 4 0.0505057209189 1365.1868
87.318445625 6 5 0.0 1380.8342
88.4823728125 7 6 0.140730811976 1316.7908
89.0643364062 8 7 0.0 1314.9816
89.3553182031 9 8 0.0 1314.9756
89.5008091016 10 9 0.0 1314.9728

89.6463 2 10 0.93618886891 1359.626
202.40063 1 2 0.0 1359.8366
