name smp ex sd se min max var cvar
79 1500 1336.68 273.864 7.07 445.21 2046 1760.0 1837.86
80 1500 1336.68 273.864 7.07 445.21 2046 1760.0 1837.86
81 1500 1336.68 273.864 7.07 445.21 2046 1760.0 1837.86
82 1500 1336.68 273.864 7.07 445.21 2046 1760.0 1837.86
83 1500 1336.68 273.864 7.07 445.21 2046 1760.0 1837.86
84 1500 1336.68 273.864 7.07 445.21 2046 1760.0 1837.86
85 1500 1336.68 273.864 7.07 445.21 2046 1760.0 1837.86
86 1500 1336.68 273.864 7.07 445.21 2046 1760.0 1837.86
87 1500 1336.68 273.864 7.07 445.21 2046 1760.0 1837.86
88 1500 1336.68 273.864 7.07 445.21 2046 1760.0 1837.86
89 1500 1336.68 273.864 7.07 445.21 2046 1760.0 1837.86
90 1500 1336.68 273.864 7.07 445.21 2046 1760.0 1837.86
91 1500 1336.68 273.864 7.07 445.21 2046 1760.0 1837.86
92 1500 1336.68 273.864 7.07 445.21 2046 1760.0 1837.86
93 1500 1336.68 273.864 7.07 445.21 2046 1760.0 1837.86
94 1500 1336.68 273.864 7.07 445.21 2046 1760.0 1837.86
95 1500 1336.68 273.864 7.07 445.21 2046 1760.0 1837.86
96 1500 1336.68 273.864 7.07 445.21 2046 1760.0 1837.86
97 1500 1336.68 273.864 7.07 445.21 2046 1760.0 1837.86
98 1500 1336.68 273.864 7.07 445.21 2046 1760.0 1837.86
99 1500 1336.68 273.864 7.07 445.21 2046 1760.0 1837.86
100 1500 1336.68 273.864 7.07 445.21 2046 1760.0 1837.86
101 1500 1336.68 273.864 7.07 445.21 2046 1760.0 1837.86
102 1500 1336.68 273.864 7.07 445.21 2046 1760.0 1837.86
103 1500 1336.68 273.864 7.07 445.21 2046 1760.0 1837.86
104 1500 1336.68 273.864 7.07 445.21 2046 1760.0 1837.86
105 1500 1336.68 273.864 7.07 445.21 2046 1760.0 1837.86
106 1500 1336.68 273.864 7.07 445.21 2046 1760.0 1837.86
107 1500 1336.68 273.864 7.07 445.21 2046 1760.0 1837.86
108 1500 1336.68 273.864 7.07 445.21 2046 1760.0 1837.86
109 1500 1336.68 273.864 7.07 445.21 2046 1760.0 1837.86
110 1500 1336.68 273.864 7.07 445.21 2046 1760.0 1837.86
111 1500 1336.68 273.864 7.07 445.21 2046 1760.0 1837.86
112 1500 1336.68 273.864 7.07 445.21 2046 1760.0 1837.86
113 1500 1336.68 273.864 7.07 445.21 2046 1760.0 1837.86
114 1500 1336.68 273.864 7.07 445.21 2046 1760.0 1837.86
115 1500 1336.68 273.864 7.07 445.21 2046 1760.0 1837.86
116 1500 1336.68 273.864 7.07 445.21 2046 1760.0 1837.86
117 1500 1336.68 273.864 7.07 445.21 2046 1760.0 1837.86
118 1500 1336.68 273.864 7.07 445.21 2046 1760.0 1837.86
119 1500 1336.68 273.864 7.07 445.21 2046 1760.0 1837.86
120 1500 1336.68 273.864 7.07 445.21 2046 1760.0 1837.86
121 1500 1336.68 273.864 7.07 445.21 2046 1760.0 1837.86
122 1500 1336.68 273.864 7.07 445.21 2046 1760.0 1837.86
123 1500 1336.68 273.864 7.07 445.21 2046 1760.0 1837.86
124 1500 1336.68 273.864 7.07 445.21 2046 1760.0 1837.86
125 1500 1336.68 273.864 7.07 445.21 2046 1760.0 1837.86
126 1500 1336.68 273.864 7.07 445.21 2046 1760.0 1837.86
127 1500 1336.68 273.864 7.07 445.21 2046 1760.0 1837.86
128 1500 1336.68 273.864 7.07 445.21 2046 1760.0 1837.86
129 1500 1336.68 273.864 7.07 445.21 2046 1760.0 1837.86
130 1500 1336.68 273.864 7.07 445.21 2046 1760.0 1837.86
131 1500 1336.68 273.864 7.07 445.21 2046 1760.0 1837.86
132 1500 1336.68 273.864 7.07 445.21 2046 1760.0 1837.86
133 1500 1336.68 273.864 7.07 445.21 2046 1760.0 1837.86
134 1500 1336.68 273.864 7.07 445.21 2046 1760.0 1837.86
135 1500 1336.68 273.864 7.07 445.21 2046 1760.0 1837.86
136 1500 1336.68 273.864 7.07 445.21 2046 1760.0 1837.86
137 1500 1336.68 273.864 7.07 445.21 2046 1760.0 1837.86
138 1500 1336.68 273.864 7.07 445.21 2046 1760.0 1837.86
139 1500 1336.68 273.864 7.07 445.21 2046 1760.0 1837.86
140 1500 1336.68 273.864 7.07 445.21 2046 1760.0 1837.86
141 1500 1336.68 273.864 7.07 445.21 2046 1760.0 1837.86
142 1500 1336.68 273.864 7.07 445.21 2046 1760.0 1837.86
143 1500 1336.68 273.864 7.07 445.21 2046 1760.0 1837.86
144 1500 1336.68 273.864 7.07 445.21 2046 1760.0 1837.86
145 1500 1336.68 273.864 7.07 445.21 2046 1760.0 1837.86
146 1500 1336.68 273.864 7.07 445.21 2046 1760.0 1837.86
147 1500 1336.68 273.864 7.07 445.21 2046 1760.0 1837.86
148 1500 1336.68 273.864 7.07 445.21 2046 1760.0 1837.86
149 1500 1336.68 273.864 7.07 445.21 2046 1760.0 1837.86
150 1500 1336.68 273.864 7.07 445.21 2046 1760.0 1837.86
151 1500 1336.68 273.864 7.07 445.21 2046 1760.0 1837.86
152 1500 1336.68 273.864 7.07 445.21 2046 1760.0 1837.86
153 1500 1336.68 273.864 7.07 445.21 2046 1760.0 1837.86
