prob	ls
0.8548	213.21
0.8544	213.58
0.854	213.61
0.8536	213.98
0.8532	214.15
0.8528	214.33
0.8524	214.61
0.852	214.71
0.8516	214.71
0.8512	214.71
0.8508	214.71
0.8504	214.71
0.85	214.95
0.8496	215.19
0.8492	215.36
0.8488	215.55
0.8484	215.72
0.848	216.01
0.8476	216.16
0.8472	216.55
0.8468	216.91
0.8464	217.1
0.846	217.39
0.8456	217.66
0.8452	217.66
0.8448	217.87
0.8444	218.08
0.844	218.14
0.8436	218.44
0.8432	218.82
0.8428	218.99
0.8424	219.21
0.842	219.29
0.8416	219.54
0.8412	219.72
0.8408	219.97
0.8404	220.07
0.84	220.29
0.8396	220.62
0.8392	221.03
0.8388	221.28
0.8384	221.31
0.838	221.58
0.8376	222.03
0.8372	222.17
0.8368	222.43
0.8364	222.81
0.836	222.97
0.8356	223.15
0.8352	223.33
0.8348	223.68
0.8344	223.84
0.834	223.94
0.8336	224.0
0.8332	224.08
0.8328	224.28
0.8324	224.61
0.832	224.71
0.8316	225.0
0.8312	225.15
0.8308	225.28
0.8304	225.59
0.83	225.76
0.8296	225.88
0.8292	226.17
0.8288	226.32
0.8284	226.56
0.828	226.87
0.8276	226.99
0.8272	227.03
0.8268	227.44
0.8264	227.96
0.826	228.28
0.8256	228.68
0.8252	228.98
0.8248	229.06
0.8244	229.48
0.824	229.72
0.8236	229.8
0.8232	229.9
0.8228	230.1
0.8224	230.45
0.822	230.67
0.8216	230.85
0.8212	231.17
0.8208	231.25
0.8204	231.52
0.82	231.78
0.8196	231.92
0.8192	232.18
0.8188	232.48
0.8184	232.67
0.818	232.95
0.8176	233.0
0.8172	233.35
0.8168	233.43
0.8164	233.53
0.816	233.9
0.8156	234.09
0.8152	234.26
0.8148	234.69
0.8144	234.72
0.814	234.92
0.8136	234.95
0.8132	235.11
0.8128	235.25
0.8124	235.36
0.812	235.49
0.8116	235.69
0.8112	235.88
0.8108	236.02
0.8104	236.45
0.81	236.57
0.8096	236.73
0.8092	236.84
0.8088	236.93
0.8084	237.0
0.808	237.08
0.8076	237.29
0.8072	237.43
0.8068	237.58
0.8064	237.76
0.806	237.93
0.8056	238.07
0.8052	238.16
0.8048	238.38
0.8044	238.53
0.804	238.72
0.8036	238.94
0.8032	239.03
0.8028	239.21
0.8024	239.21
0.802	239.35
0.8016	239.47
0.8012	239.59
0.8008	239.67
0.8004	239.86
0.8	240.25
0.7996	240.43
0.7992	240.58
0.7988	241.08
0.7984	241.16
0.798	241.35
0.7976	241.5
0.7972	241.66
0.7968	241.86
0.7964	242.02
0.796	242.4
0.7956	242.56
0.7952	242.79
0.7948	242.9
0.7944	243.03
0.794	243.36
0.7936	243.47
0.7932	243.83
0.7928	244.01
0.7924	244.21
0.792	244.44
0.7916	244.6
0.7912	244.76
0.7908	244.86
0.7904	245.01
0.79	245.35
0.7896	245.74
0.7892	245.93
0.7888	246.04
0.7884	246.16
0.788	246.48
0.7876	246.65
0.7872	246.88
0.7868	247.01
0.7864	247.31
0.786	247.64
0.7856	247.81
0.7852	248.03
0.7848	248.18
0.7844	248.41
0.784	248.54
0.7836	248.67
0.7832	248.73
0.7828	249.01
0.7824	249.18
0.782	249.34
0.7816	249.51
0.7812	249.71
0.7808	249.87
0.7804	250.14
0.78	250.33
0.7796	250.58
0.7792	250.86
0.7788	251.07
0.7784	251.22
0.778	251.57
0.7776	251.82
0.7772	251.93
0.7768	252.17
0.7764	252.41
0.776	252.59
0.7756	252.86
0.7752	253.0
0.7748	253.14
0.7744	253.3
0.774	253.33
0.7736	253.49
0.7732	253.75
0.7728	253.84
0.7724	253.93
0.772	254.18
0.7716	254.41
0.7712	254.5
0.7708	254.68
0.7704	254.85
0.77	254.96
0.7696	255.05
0.7692	255.35
0.7688	255.56
0.7684	255.8
0.768	255.95
0.7676	256.09
0.7672	256.34
0.7668	256.47
0.7664	256.65
0.766	256.8
0.7656	256.92
0.7652	257.16
0.7648	257.28
0.7644	257.51
0.764	257.88
0.7636	258.2
0.7632	258.32
0.7628	258.4
0.7624	258.58
0.762	258.75
0.7616	259.06
0.7612	259.34
0.7608	259.75
0.7604	260.09
0.76	260.17
0.7596	260.46
0.7592	260.58
0.7588	260.79
0.7584	261.0
0.758	261.36
0.7576	261.44
0.7572	261.69
0.7568	261.92
0.7564	262.17
0.756	262.47
0.7556	262.56
0.7552	262.83
0.7548	263.01
0.7544	263.09
0.754	263.28
0.7536	263.56
0.7532	263.74
0.7528	263.94
0.7524	264.01
0.752	264.14
0.7516	264.31
0.7512	264.73
0.7508	264.95
0.7504	265.17
0.75	265.48
0.7496	265.68
0.7492	265.9
0.7488	266.0
0.7484	266.1
0.748	266.36
0.7476	266.71
0.7472	266.82
0.7468	266.98
0.7464	267.06
0.746	267.26
0.7456	267.73
0.7452	267.88
0.7448	268.02
0.7444	268.29
0.744	268.52
0.7436	268.62
0.7432	268.83
0.7428	268.92
0.7424	269.17
0.742	269.37
0.7416	269.47
0.7412	269.8
0.7408	269.94
0.7404	270.18
0.74	270.3
0.7396	270.5
0.7392	270.61
0.7388	270.75
0.7384	270.82
0.738	270.99
0.7376	271.14
0.7372	271.16
0.7368	271.4
0.7364	271.62
0.736	271.76
0.7356	271.94
0.7352	272.05
0.7348	272.15
0.7344	272.26
0.734	272.65
0.7336	272.83
0.7332	272.95
