prob	ls
0.8548	149.83
0.8544	150.1
0.854	150.51
0.8536	150.71
0.8532	151.4
0.8528	151.75
0.8524	152.14
0.852	152.18
0.8516	152.59
0.8512	152.65
0.8508	152.65
0.8504	153.0
0.85	153.0
0.8496	153.0
0.8492	153.0
0.8488	153.0
0.8484	153.0
0.848	153.0
0.8476	153.0
0.8472	153.02
0.8468	153.58
0.8464	153.98
0.846	154.05
0.8456	154.77
0.8452	154.94
0.8448	155.3
0.8444	155.59
0.844	155.71
0.8436	155.71
0.8432	155.71
0.8428	155.95
0.8424	155.95
0.842	155.95
0.8416	155.95
0.8412	156.11
0.8408	156.5
0.8404	156.5
0.84	156.74
0.8396	157.09
0.8392	157.31
0.8388	157.57
0.8384	158.07
0.838	158.47
0.8376	158.6
0.8372	158.75
0.8368	158.95
0.8364	159.46
0.836	160.42
0.8356	160.5
0.8352	160.5
0.8348	161.21
0.8344	161.43
0.834	161.58
0.8336	162.04
0.8332	162.09
0.8328	162.59
0.8324	162.73
0.832	163.21
0.8316	163.4
0.8312	164.05
0.8308	164.14
0.8304	164.24
0.83	164.47
0.8296	164.78
0.8292	165.21
0.8288	165.5
0.8284	165.64
0.828	166.0
0.8276	166.0
0.8272	166.09
0.8268	166.48
0.8264	166.75
0.826	166.95
0.8256	167.0
0.8252	167.11
0.8248	167.11
0.8244	167.11
0.824	167.26
0.8236	167.71
0.8232	168.37
0.8228	168.95
0.8224	169.34
0.822	169.74
0.8216	169.82
0.8212	169.82
0.8208	170.22
0.8204	170.5
0.82	170.5
0.8196	170.86
0.8192	170.98
0.8188	171.81
0.8184	172.21
0.818	172.5
0.8176	172.6
0.8172	172.79
0.8168	173.0
0.8164	173.0
0.816	173.21
0.8156	173.46
0.8152	173.7
0.8148	174.19
0.8144	174.22
0.814	174.5
0.8136	174.69
0.8132	174.81
0.8128	174.95
0.8124	175.21
0.812	175.48
0.8116	175.59
0.8112	175.71
0.8108	175.95
0.8104	176.1
0.81	176.1
0.8096	176.3
0.8092	176.36
0.8088	176.58
0.8084	176.77
0.808	176.93
0.8076	177.23
0.8072	177.52
0.8068	177.77
0.8064	177.88
0.806	178.04
0.8056	178.21
0.8052	178.5
0.8048	178.62
0.8044	178.77
0.804	178.95
0.8036	179.0
0.8032	179.0
0.8028	179.0
0.8024	179.0
0.802	179.0
0.8016	179.07
0.8012	179.28
0.8008	179.61
0.8004	179.86
0.8	179.96
0.7996	180.42
0.7992	180.59
0.7988	180.71
0.7984	180.82
0.798	180.85
0.7976	181.24
0.7972	181.31
0.7968	181.48
0.7964	181.64
0.796	181.85
0.7956	182.11
0.7952	182.11
0.7948	182.57
0.7944	182.81
0.794	182.91
0.7936	182.91
0.7932	183.26
0.7928	183.36
0.7924	183.36
0.792	183.36
0.7916	184.09
0.7912	184.24
0.7908	184.46
0.7904	185.01
0.79	185.07
0.7896	185.11
0.7892	185.11
0.7888	185.68
0.7884	186.14
0.788	186.21
0.7876	186.59
0.7872	186.86
0.7868	186.95
0.7864	187.26
0.786	187.54
0.7856	187.82
0.7852	188.11
0.7848	188.36
0.7844	188.37
0.784	188.48
0.7836	188.6
0.7832	188.62
0.7828	188.68
0.7824	188.91
0.782	189.41
0.7816	189.58
0.7812	190.17
0.7808	190.36
0.7804	190.56
0.78	190.56
0.7796	190.84
0.7792	191.08
0.7788	191.31
0.7784	191.33
0.778	191.87
0.7776	192.0
0.7772	192.0
0.7768	192.0
0.7764	192.0
0.776	192.0
0.7756	192.0
0.7752	192.0
0.7748	192.0
0.7744	192.16
0.774	192.36
0.7736	192.58
0.7732	192.74
0.7728	192.95
0.7724	193.2
0.772	193.46
0.7716	193.65
0.7712	193.74
0.7708	193.88
0.7704	194.0
0.77	194.0
0.7696	194.0
0.7692	194.06
0.7688	194.36
0.7684	194.45
0.768	194.7
0.7676	194.71
0.7672	194.71
0.7668	194.71
0.7664	194.89
0.766	194.95
0.7656	194.95
0.7652	194.95
0.7648	195.11
0.7644	195.24
0.764	195.45
0.7636	195.69
0.7632	196.0
0.7628	196.0
0.7624	196.0
0.762	196.0
0.7616	196.0
0.7612	196.0
0.7608	196.0
0.7604	196.0
0.76	196.0
0.7596	196.0
0.7592	196.0
0.7588	196.0
0.7584	196.13
0.758	196.36
0.7576	196.71
0.7572	196.71
0.7568	196.71
0.7564	196.71
0.756	196.71
0.7556	196.79
0.7552	196.96
0.7548	197.31
0.7544	197.49
0.754	197.5
0.7536	197.58
0.7532	197.59
0.7528	197.66
0.7524	197.74
0.752	197.91
0.7516	198.52
0.7512	198.59
0.7508	198.85
0.7504	198.95
0.75	198.95
0.7496	198.95
0.7492	198.95
0.7488	198.95
0.7484	198.95
0.748	199.23
0.7476	199.46
0.7472	199.52
0.7468	199.76
0.7464	200.06
0.746	200.29
0.7456	200.43
0.7452	200.67
0.7448	200.9
0.7444	201.0
0.744	201.01
0.7436	201.24
0.7432	201.37
0.7428	201.58
0.7424	201.67
0.742	202.07
0.7416	202.11
0.7412	202.18
0.7408	202.27
0.7404	202.48
0.74	202.66
0.7396	202.94
0.7392	203.07
0.7388	203.18
0.7384	203.38
0.738	203.85
0.7376	203.95
0.7372	204.1
0.7368	204.14
0.7364	204.24
0.736	204.29
0.7356	204.66
0.7352	205.11
0.7348	205.21
0.7344	205.37
0.734	205.57
0.7336	205.81
0.7332	205.98
0.7328	206.0
0.7324	206.14
0.732	206.19
0.7316	206.24
0.7312	206.24
0.7308	206.4
0.7304	206.5
0.73	206.76
0.7296	206.85
0.7292	207.0
0.7288	207.29
0.7284	207.5
0.728	207.59
0.7276	207.82
0.7272	207.92
0.7268	208.0
0.7264	208.0
0.726	208.15
0.7256	208.29
0.7252	208.56
0.7248	208.71
0.7244	208.95
0.724	209.1
0.7236	209.61
0.7232	209.76
0.7228	209.93
0.7224	210.17
0.722	210.29
0.7216	210.64
0.7212	210.89
0.7208	211.05
0.7204	211.11
0.72	211.48
0.7196	211.58
0.7192	211.71
0.7188	211.95
0.7184	212.0
0.718	212.0
0.7176	212.14
0.7172	212.44
0.7168	212.57
0.7164	212.65
0.716	212.98
0.7156	213.43
0.7152	213.79
0.7148	214.07
0.7144	214.17
0.714	214.39
0.7136	214.51
0.7132	214.74
0.7128	215.02
0.7124	215.12
0.712	215.32
0.7116	215.36
0.7112	215.46
0.7108	215.6
0.7104	215.6
0.71	215.7
0.7096	216.0
0.7092	216.11
0.7088	216.29
0.7084	216.4
0.708	216.65
0.7076	216.9
0.7072	217.27
0.7068	217.36
0.7064	217.5
0.706	217.71
0.7056	217.95
0.7052	218.0
0.7048	218.04
0.7044	218.5
0.704	218.74
0.7036	219.0
0.7032	219.2
0.7028	219.27
0.7024	219.59
0.702	219.62
0.7016	219.71
0.7012	219.77
0.7008	219.9
0.7004	220.01
0.7	220.19
0.6996	220.48
0.6992	220.62
0.6988	220.97
0.6984	221.07
0.698	221.11
0.6976	221.14
0.6972	221.49
0.6968	221.82
0.6964	222.12
0.696	222.34
0.6956	222.64
0.6952	222.7
0.6948	222.76
0.6944	223.11
0.694	223.16
0.6936	223.41
0.6932	223.77
0.6928	223.86
0.6924	223.99
0.692	224.06
0.6916	224.11
0.6912	224.11
0.6908	224.14
0.6904	224.14
0.69	224.14
0.6896	224.24
0.6892	224.55
0.6888	224.79
0.6884	225.01
0.688	225.05
0.6876	225.21
0.6872	225.66
0.6868	225.86
0.6864	226.03
0.686	226.21
0.6856	226.24
0.6852	226.44
0.6848	226.62
0.6844	226.68
0.684	226.77
0.6836	226.82
0.6832	226.85
0.6828	226.89
0.6824	227.05
0.682	227.13
0.6816	227.36
0.6812	227.55
0.6808	227.61
0.6804	227.75
0.68	227.95
0.6796	228.11
0.6792	228.33
0.6788	228.48
0.6784	228.49
0.678	228.71
0.6776	229.0
0.6772	229.23
0.6768	229.36
0.6764	229.52
0.676	229.62
0.6756	229.75
0.6752	229.98
0.6748	230.35
0.6744	230.74
0.674	231.0
0.6736	231.0
0.6732	231.66
0.6728	231.8
0.6724	232.02
0.672	232.14
0.6716	232.41
0.6712	232.54
0.6708	232.71
0.6704	232.83
0.67	232.98
0.6696	233.0
0.6692	233.0
0.6688	233.21
0.6684	233.43
0.668	233.7
0.6676	233.97
0.6672	234.14
0.6668	234.33
0.6664	234.5
0.666	234.5
0.6656	234.81
0.6652	234.98
0.6648	235.0
0.6644	235.0
0.664	235.0
0.6636	235.14
0.6632	235.4
0.6628	235.45
0.6624	235.61
0.662	235.71
0.6616	235.71
0.6612	235.77
0.6608	236.05
0.6604	236.21
0.66	236.47
0.6596	236.79
0.6592	236.88
0.6588	237.09
0.6584	237.55
0.658	237.71
0.6576	237.85
0.6572	237.95
0.6568	238.05
0.6564	238.11
0.656	238.13
0.6556	238.24
0.6552	238.47
0.6548	238.76
0.6544	238.95
0.654	239.19
0.6536	239.46
0.6532	239.56
0.6528	239.59
0.6524	239.72
0.652	239.99
0.6516	240.05
0.6512	240.36
0.6508	240.52
0.6504	240.58
0.65	240.72
0.6496	240.86
0.6492	241.03
0.6488	241.3
0.6484	241.5
0.648	241.64
0.6476	241.75
0.6472	242.11
0.6468	242.21
0.6464	242.24
0.646	242.49
0.6456	242.65
0.6452	242.92
0.6448	243.1
0.6444	243.14
0.644	243.27
0.6436	243.46
0.6432	243.59
0.6428	243.71
0.6424	244.11
