time	e_r	s_r	t_r	d_r
1	0	6.518	0	0
2	5.703	6.6	0	0
3	11.478	6.6	0	0
4	17.25375	1.11	0	
5	18.225	6.6	0	0
6	24	0	0	0
7	24	0	0	0
8	17.4	0	4	2.6
9	15.8	0	0	1.6
10	15.8	0	0	0
11	14.8	0	1	0
12	11.2	3	0	3.6
13	7.225	0	0	6.6
14	5.358	0	0	1.867
15	5.358	0	0	0
16	5.358	6.6	0	0
17	7.133	2.6	4	0
18	9.408	6.6	0	0
19	8.583	0	0	6.6
20	3	0	2	3.583
21	3	0	0	0
22	3	6.6	0	0
23	8.775	0	0	0
24	7.415	5.24	0	1.36
