prob	ls
0.8548	100.0
0.8544	100.0
0.854	100.0
0.8536	100.0
0.8532	100.0
0.8528	100.0
0.8524	100.0
0.852	100.0
0.8516	100.1
0.8512	100.3
0.8508	100.44
0.8504	100.65
0.85	100.77
0.8496	100.98
0.8492	101.0
0.8488	101.65
0.8484	101.85
0.848	102.0
0.8476	102.0
0.8472	102.0
0.8468	102.0
0.8464	102.06
0.846	102.46
0.8456	102.65
0.8452	102.81
0.8448	102.81
0.8444	102.95
0.844	103.15
0.8436	103.27
0.8432	103.36
0.8428	103.37
0.8424	103.44
0.842	104.09
0.8416	104.71
0.8412	104.71
0.8408	104.89
0.8404	105.07
0.84	105.36
0.8396	105.36
0.8392	105.36
0.8388	105.57
0.8384	105.92
0.838	106.0
0.8376	106.0
0.8372	106.05
0.8368	106.08
0.8364	106.33
0.836	106.79
0.8356	106.95
0.8352	107.11
0.8348	107.29
0.8344	107.29
0.834	107.46
0.8336	107.75
0.8332	108.07
0.8328	108.23
0.8324	108.48
0.832	108.56
0.8316	108.71
0.8312	108.74
0.8308	108.88
0.8304	109.51
0.83	109.95
0.8296	109.95
0.8292	110.0
0.8288	110.0
0.8284	110.0
0.828	110.21
0.8276	110.63
0.8272	110.82
0.8268	110.91
0.8264	111.25
0.826	111.49
0.8256	111.81
0.8252	112.04
0.8248	112.49
0.8244	112.66
0.824	113.51
0.8236	114.11
0.8232	114.36
0.8228	114.36
0.8224	114.48
0.822	114.81
0.8216	114.98
0.8212	115.1
0.8208	115.48
0.8204	115.48
0.82	115.48
0.8196	115.48
0.8192	115.76
0.8188	116.14
0.8184	116.62
0.818	117.07
0.8176	117.31
0.8172	117.55
0.8168	117.86
0.8164	118.24
0.816	118.52
0.8156	118.84
0.8152	118.91
0.8148	119.33
0.8144	119.76
0.814	120.0
0.8136	120.0
0.8132	120.0
0.8128	120.31
0.8124	120.49
0.812	120.65
0.8116	120.65
0.8112	120.65
0.8108	120.81
0.8104	120.91
0.81	121.0
0.8096	121.0
0.8092	121.0
0.8088	121.13
0.8084	121.37
0.808	121.43
0.8076	121.64
0.8072	121.8
0.8068	122.21
0.8064	122.38
0.806	122.47
0.8056	122.69
0.8052	122.83
0.8048	123.0
0.8044	123.0
0.804	123.0
0.8036	123.0
0.8032	123.0
0.8028	123.0
0.8024	123.13
0.802	123.37
0.8016	123.63
0.8012	123.71
0.8008	123.71
0.8004	124.02
0.8	124.17
0.7996	124.46
0.7992	124.6
0.7988	124.97
0.7984	125.04
