sp	sv	mp	mv
0.3203125	145.28	0.854166667	60.57
0.322265625	145.28	0.859375	48.1
0.32421875	145.28	0.864583333	48.1
0.326171875	145.26	0.869791667	43.91
0.328125	145.26	0.875	43.91
0.330078125	145.12	0.880208333	43.25
0.33203125	145.12	0.885416667	43.25
0.333984375	144.77	0.890625	34.55
0.3359375	144.47	0.895833333	34.55
0.337890625	144.47	0.901041667	34
0.33984375	144.47	0.90625	34
0.341796875	144.47	0.911458333	27.94
0.34375	144.47	0.916666667	27.94
0.345703125	144.47	0.921875	23.73
0.34765625	144.47	0.927083333	23.73
0.349609375	144.47	0.932291667	21.66
0.3515625	143.36	0.9375	21.66
0.353515625	143.36	0.942708333	19.99
0.35546875	142.81	0.947916667	19.99
0.357421875	142.79	0.953125	18.73
0.359375	139.84	0.958333333	18.73
0.361328125	139.84	0.963541667	17.41
0.36328125	138.12	0.96875	17.41
0.365234375	138.12	0.973958333	12.99
0.3671875	138.12	0.979166667	12.99
0.369140625	138.12	0.984375	12.54
0.37109375	138.12	0.989583333	12.54
0.373046875	138.12	0.994791667	12.4
0.375	135.87	1	12.4
0.376953125	135.87		
0.37890625	135.76		
0.380859375	135.76		
0.3828125	135.35		
0.384765625	135.35		
0.38671875	133.77		
0.388671875	133.77		
0.390625	133.6		
0.392578125	133.6		
0.39453125	133.6		
0.396484375	133.6		
0.3984375	133.6		
0.400390625	133.6		
0.40234375	133.6		
0.404296875	133.6		
0.40625	133.07		
0.408203125	133.07		
0.41015625	133.07		
0.412109375	133.07		
0.4140625	133.07		
0.416015625	131.14		
0.41796875	131.14		
0.419921875	131.14		
0.421875	131.14		
0.423828125	131.14		
0.42578125	131.14		
0.427734375	130.54		
0.4296875	130.54		
0.431640625	130.36		
0.43359375	130.36		
0.435546875	128.73		
0.4375	128.73		
0.439453125	128.73		
0.44140625	128.73		
0.443359375	128.71		
0.4453125	128.71		
0.447265625	128.71		
0.44921875	128.71		
0.451171875	128.71		
0.453125	128.71		
0.455078125	128.71		
0.45703125	127.64		
0.458984375	127.64		
0.4609375	127.54		
0.462890625	127.54		
0.46484375	126.97		
0.466796875	126.97		
0.46875	126.28		
0.470703125	126.28		
0.47265625	125.55		
0.474609375	125.55		
0.4765625	125.55		
0.478515625	125.55		
0.48046875	125.55		
0.482421875	123.71		
0.484375	123.71		
0.486328125	123.71		
0.48828125	121.74		
0.490234375	121.74		
0.4921875	121.47		
0.494140625	121.47		
0.49609375	120.54		
0.498046875	120.54		
0.5	119.76		
0.501953125	119.76		
0.50390625	119.76		
0.505859375	119.76		
0.5078125	119.76		
0.509765625	119.76		
0.51171875	119.76		
0.513671875	119.76		
0.515625	119.76		
0.517578125	119.76		
0.51953125	118.44		
0.521484375	118.44		
0.5234375	118.44		
0.525390625	117.83		
0.52734375	117.83		
0.529296875	117.83		
0.53125	117.83		
0.533203125	115.72		
0.53515625	115.53		
0.537109375	115.53		
0.5390625	115.43		
0.541015625	115.43		
0.54296875	115.29		
0.544921875	115.29		
0.546875	115.28		
0.548828125	114.87		
0.55078125	114.87		
0.552734375	114.44		
0.5546875	113.86		
0.556640625	113.86		
0.55859375	111.02		
0.560546875	110.67		
0.5625	110.67		
0.564453125	110.67		
0.56640625	110.67		
0.568359375	109.78		
0.5703125	106.73		
0.572265625	106.73		
0.57421875	106.73		
0.576171875	106.73		
0.578125	106.73		
0.580078125	106.73		
0.58203125	106.65		
0.583984375	106.65		
0.5859375	106.39		
0.587890625	106.39		
0.58984375	106.39		
0.591796875	106.39		
0.59375	106.07		
0.595703125	106.07		
0.59765625	106.07		
0.599609375	101.78		
0.6015625	101.78		
0.603515625	101.31		
0.60546875	101.31		
0.607421875	89.09		
0.609375	89.09		
0.611328125	86.97		
0.61328125	86.97		
0.615234375	86.97		
0.6171875	86.97		
0.619140625	86.97		
0.62109375	86.97		
0.623046875	86.97		
0.625	86.97		
0.626953125	84.14		
0.62890625	84.14		
0.630859375	83.14		
0.6328125	83.14		
0.634765625	83.14		
0.63671875	83.14		
0.638671875	83.14		
0.640625	83.14		
0.642578125	83.14		
0.64453125	83.14		
0.646484375	82.2		
0.6484375	82.2		
0.650390625	82.19		
0.65234375	82.19		
0.654296875	82.19		
0.65625	82.19		
0.658203125	82.19		
0.66015625	82.19		
0.662109375	82.19		
0.6640625	82.19		
0.666015625	80.31		
0.66796875	80.31		
0.669921875	80.12		
0.671875	80.12		
0.673828125	79.45		
0.67578125	79.45		
0.677734375	76.03		
0.6796875	74		
0.681640625	74		
0.68359375	74		
0.685546875	74		
0.6875	71.32		
0.689453125	71.32		
0.69140625	71.32		
0.693359375	71.32		
0.6953125	71.32		
0.697265625	71.32		
0.69921875	68.55		
0.701171875	68.55		
0.703125	68.55		
0.705078125	68.55		
0.70703125	68.55		
0.708984375	68.55		
0.7109375	68.55		
0.712890625	68.55		
0.71484375	66.93		
0.716796875	66.93		
0.71875	66.93		
0.720703125	65.53		
0.72265625	65.53		
0.724609375	65.53		
0.7265625	65.53		
0.728515625	65.31		
0.73046875	64.33		
0.732421875	64.33		
0.734375	64.33		
0.736328125	64.33		
0.73828125	64.33		
0.740234375	64.33		
0.7421875	64.33		
0.744140625	64.33		
0.74609375	61.81		
0.748046875	61.81		
0.75	61.81		
0.751953125	61.81		
0.75390625	61.81		
0.755859375	61.81		
0.7578125	61.65		
0.759765625	61.65		
0.76171875	61.65		
0.763671875	61.65		
0.765625	61.65		
0.767578125	61.65		
0.76953125	59.76		
0.771484375	59.76		
0.7734375	59.76		
0.775390625	59.76		
0.77734375	53.19		
0.779296875	53.19		
0.78125	53.19		
0.783203125	53.19		
0.78515625	53.19		
0.787109375	53.19		
0.7890625	51.78		
0.791015625	51.78		
0.79296875	51.78		
0.794921875	51.75		
0.796875	51.75		
0.798828125	51.75		
0.80078125	51.75		
0.802734375	51.75		
0.8046875	51.75		
0.806640625	51.75		
0.80859375	51.75		
0.810546875	51.75		
0.8125	50.01		
0.814453125	50.01		
0.81640625	50.01		
0.818359375	50.01		
0.8203125	47.41		
0.822265625	47.41		
0.82421875	47.41		
0.826171875	47.41		
0.828125	47.41		
0.830078125	47.41		
0.83203125	45.24		
0.833984375	45.24		
0.8359375	45.24		
0.837890625	45.24		
0.83984375	45.24		
0.841796875	45.24		
0.84375	45.24		
0.845703125	45.24		
0.84765625	45.24		
0.849609375	45.24		
0.8515625	45.24		
0.853515625	45.24		
0.85546875	45.24		
0.857421875	45.24		
0.859375	45.24		
0.861328125	45.24		
0.86328125	45.24		
0.865234375	45.24		
