name smp ex st se min max var cvar
63 1500 1472.81935333 283.508518189 7.32015846302 413.32 2128.0 1929.0 1990.63786667
64 1500 1275.39683333 304.8414378 7.87097207889 107.0 2048.0 1768.26 1849.5428
65 1500 1358.8577 272.884636304 7.04585101226 151.5 2143.0 1787.07 1887.91106667
66 1500 1472.13565333 248.845641741 6.4251668416 251.28 1996.28 1838.33 1900.56813333
67 1500 1218.82216 278.24790313 7.18432996627 388.11 2082.0 1664.11 1768.6068
68 1500 1329.24932667 274.606595488 7.09031180723 445.21 2046.0 1760.0 1840.2428
69 1500 1336.67804 273.864049552 7.0711393536 445.21 2046.0 1760.0 1837.86
70 1500 1335.97886 274.621838057 7.09070536866 445.21 2046.0 1761.9 1838.75466667
71 1500 1278.25259333 261.399860963 6.74931538806 347.0 1971.25 1703.75 1790.30733333
72 1500 1284.25254 272.023034466 7.02360454847 474.21 2117.74 1719.0 1818.31906667
73 1500 1261.11174667 270.603236711 6.98694552807 315.0 2093.0 1697.75 1788.35013333
74 1500 1394.80848667 265.033147825 6.84312645146 97.4 2153.0 1796.73 1893.78013333
75 1500 1351.06604667 265.873892609 6.86483438844 314.47 2075.0 1781.41 1866.92026667
76 1500 1333.73362667 277.956592054 7.17680834662 335.87 2022.0 1755.11 1840.23146667
77 1500 1245.33836 289.911938757 7.48549407115 0.0 2004.0 1714.48 1797.68093333
78 1500 1332.70082667 263.538399364 6.80453221215 473.48 2139.0 1771.0 1850.11186667
79 1500 1326.19786667 276.342702562 7.13513789911 394.26 2098.0 1752.11 1846.44
80 1500 1318.3647 275.752721477 7.11990465301 172.02 2173.0 1725.66 1823.06786667
81 1500 1342.57653333 269.416722585 6.95630986509 286.47 2018.0 1777.05 1852.3168
82 1500 1332.37241333 274.240911682 7.08086989194 336.6 2046.0 1767.0 1833.19173333
83 1500 1392.36648 261.760524284 6.75862767498 323.06 2161.0 1793.0 1879.1248
84 1500 1304.99142 274.281119663 7.08190805756 203.0 2113.0 1724.58 1809.70866667
85 1500 1360.53777333 265.43934808 6.85361449694 280.36 2055.0 1768.89 1859.05373333
86 1500 1345.79012667 271.440417919 7.00856145392 69.59 2026.0 1756.63 1826.9596
87 1500 1363.66414667 282.615573433 7.29710272858 396.17 2022.0 1784.0 1851.94786667
88 1500 1298.47995333 278.023900692 7.17854624819 492.78 2074.0 1742.96 1828.856
89 1500 1299.45402667 277.498203143 7.16497279584 0.0 2005.0 1714.0 1796.43586667
90 1500 1388.10616 286.190772864 7.38941398093 254.58 2146.0 1824.77 1897.42133333
91 1500 1314.45428 281.616456695 7.27130564531 187.0 2049.0 1773.59 1858.84453333
92 1500 1328.37821333 274.051108388 7.07596919199 445.21 2046.0 1751.94 1827.7216
93 1500 1330.33402667 275.23415719 7.10651538071 446.29 2022.22 1751.94 1828.7156
94 1500 1389.74320667 259.590697266 6.70260298228 487.35 2105.0 1792.85 1858.22106667
95 1500 1353.57183333 259.459416265 6.69921332141 182.92 2026.48 1749.0 1817.94213333
96 1500 1340.37100667 272.439962134 7.03436957457 484.88 2107.0 1772.85 1860.72
97 1500 1319.94227333 279.108632266 7.20655389699 104.18 2061.0 1759.5 1833.9072
98 1500 1334.95680667 253.999169755 6.55823036273 430.95 2120.0 1757.42 1835.75053333
99 1500 1345.00974 276.940609032 7.1505757778 0.0 2033.0 1766.38 1843.18346667
100 1500 1419.42534667 271.425332373 7.0081719468 467.81 2158.0 1830.0 1909.20226667
101 1500 1455.64605333 271.644223261 7.01382368523 570.0 2151.0 1890.76 1976.84933333
102 1500 1360.58665333 270.463893874 6.9833477115 170.0 2071.0 1768.33 1847.2988
103 1500 1441.74833333 257.136155333 6.63922698207 690.1 2141.0 1855.0 1929.47893333
104 1500 1298.47096667 278.156403604 7.18196745867 152.85 2042.0 1746.77 1822.24746667
105 1500 1437.07797333 252.729954078 6.52545935487 656.0 2142.0 1832.87 1918.50653333
106 1500 1389.3335 259.791589465 6.70778999656 533.33 2078.0 1813.84 1884.39053333
107 1500 1359.51847333 278.18300657 7.18265434429 317.0 2078.0 1793.95 1873.09946667
108 1500 1397.03934667 257.327996008 6.644180287 298.37 2099.11 1798.92 1884.72933333
109 1500 1246.66177333 283.73330456 7.32596242216 332.24 2001.48 1723.68 1801.6708
110 1500 1365.67282667 272.136213638 7.02652682213 545.61 2077.27 1799.48 1882.51493333
111 1500 1336.67804 273.864049552 7.0711393536 445.21 2046.0 1760.0 1837.86
112 1500 1471.00598 259.639871786 6.70387266293 559.72 2149.0 1883.0 1953.28186667
113 1500 1508.21507333 239.037763729 6.17192852023 453.12 2144.0 1881.0 1947.9944
114 1500 1417.14842 267.12235213 6.89706947465 278.0 2147.33 1818.77 1898.50053333
115 1500 1247.92826 282.702785047 7.29935452275 273.61 2008.11 1732.9 1809.76546667
116 1500 1448.10763333 267.067418084 6.8956510837 109.5 2190.0 1857.12 1940.1108
117 1500 1420.95834 272.56097048 7.03749399664 119.64 2084.56 1842.64 1925.00106667
118 1500 1269.30426667 263.63930008 6.80713745743 171.92 2006.0 1683.6 1768.13293333
119 1500 1393.44596667 261.080651037 6.74107342323 106.0 2112.25 1790.11 1864.244
120 1500 1378.00302667 286.343597136 7.39335988666 90.75 2133.0 1827.0 1910.83533333
121 1500 1379.48144667 272.503153955 7.03600118037 485.33 2066.0 1824.68 1895.50986667
122 1500 1230.36313333 270.34504205 6.98027897059 484.08 2026.0 1673.24 1766.68786667
123 1500 1360.03991333 270.644301027 6.98800580415 420.03 2066.0 1799.0 1873.58346667
124 1500 1421.20693333 259.23130277 6.6933234563 511.67 2112.0 1808.0 1858.43333333
125 1500 1315.01607333 278.356301121 7.18712879035 426.57 1976.0 1747.95 1821.0264
126 1500 1310.01846667 282.870669996 7.3036892935 422.95 2046.0 1759.36 1836.22053333
127 1500 1403.56389333 283.095909141 7.30950494321 107.45 2136.11 1853.79 1931.9792
128 1500 1356.26638667 280.119786608 7.23266178985 321.43 2050.0 1807.75 1876.1364
129 1500 1389.19643333 269.138029873 6.9491140502 107.71 2089.0 1805.48 1878.13026667
130 1500 1408.21856 270.588845893 6.98657395876 319.68 2131.0 1830.25 1917.1384
131 1500 1406.12387333 262.415788995 6.77554653706 38.76 2183.0 1811.07 1915.9692
132 1500 1488.95038667 266.091114905 6.870443044 565.38 2140.0 1902.0 1978.14506667
133 1500 1339.12214667 277.512984936 7.16535446009 390.28 2058.38 1763.54 1851.38173333
134 1500 1391.26048 255.868807289 6.6065041963 486.0 2065.0 1802.0 1885.49946667
135 1500 1331.79882 270.413992306 6.98205925856 298.71 2065.0 1756.17 1829.97746667
136 1500 1287.44457333 254.387670755 6.56826141543 485.11 1982.0 1705.0 1787.1984
137 1500 1339.48604 276.29227017 7.13383574037 486.0 2081.37 1767.49 1831.6608
138 1500 1381.68171333 281.788114582 7.27573783289 321.58 2114.0 1836.0 1920.49013333
